Date,Channel,Username,Message,Tag_owner,Cleanest_message
2021-09-14 17:51:09,greekgodx ,mustfax19,Pepega,0,Pepega
2021-09-14 17:51:09,greekgodx ,bangkeys,Irl stream snipers,0,stream sniper
2021-09-14 17:51:09,greekgodx ,exiledxinsanity,v tec kicked in Pog,0,i tec kick
2021-09-14 17:51:10,greekgodx ,bilaal44,GOBLIN,0,goblin
2021-09-14 17:51:10,greekgodx ,leeqox,Alarm turn up the volume Alarm,0,alarm turn
2021-09-14 17:51:10,greekgodx ,adamev1,Pepega Clap,0,Pepega Clap
2021-09-14 17:51:11,greekgodx ,proxe0,he is high,0,high
2021-09-14 17:51:11,greekgodx ,paxt___,WICKED,0,wick
2021-09-14 17:51:12,greekgodx ,spr1nt3r,THE INSANE SAILOR monkaS,0,sailor monkaS
2021-09-14 17:51:12,greekgodx ,ahmet_charts,"dont  steer hard, STEER JUST A LITTLE",0,dont steer
2021-09-14 17:51:12,greekgodx ,badmindsetabuser,go left bitch,0,go left bitch
2021-09-14 17:51:13,greekgodx ,fartecho,He ius turning,0,turn
2021-09-14 17:51:14,greekgodx ,futsunoningen,actually working out does legs PogU,0,actual work doe leg PogU
2021-09-14 17:51:14,greekgodx ,mrdude90,SMOrc Clap,0,Clap
2021-09-14 17:51:15,greekgodx ,dihomer,PogU TURNING,0,PogU turn
2021-09-14 17:51:15,greekgodx ,fluxenis,Pepega make the noise for speed boost,0,Pepega make speed boost
2021-09-14 17:51:15,greekgodx ,scropionxking,Pepega,0,Pepega
2021-09-14 17:51:15,greekgodx ,stanmeister,HELP monkaW,0,help monkaW
2021-09-14 17:51:17,greekgodx ,uwujesterr,MAYBE IT ONLY TURNS ONE WAY BC YOUR ON ONE SIDE?????,0,turn one way
2021-09-14 17:51:17,greekgodx ,mrlolsss,LULW,0,LULW
2021-09-14 17:51:17,greekgodx ,beeristhedevil,you got it greek,0,got
2021-09-14 17:51:17,greekgodx ,fletchdawg,peepoSad,0,peepoSad
2021-09-14 17:51:17,greekgodx ,i_am_nab,PepoCheer KEEP GOING,0,keep go
2021-09-14 17:51:17,greekgodx ,zjavbxj06,PogU ?,0,PogU
2021-09-14 17:51:17,greekgodx ,gianfrishow,Sadge not pretending,0,Sadge pretend
2021-09-14 17:51:17,greekgodx ,spike_o5,smiling_face_with_horns demon time,0,demon time
2021-09-14 17:51:18,greekgodx ,swampy01633,I love this Greek you are the best on twitch no kapp,0,love best twitch app
2021-09-14 17:51:18,greekgodx ,the_pob,You could get away with having a wank out there,0,could get away
2021-09-14 17:51:18,greekgodx ,woozie3055,pepeMeltdown  TURN pepeMeltdown  TURN pepeMeltdown  TURN,0,turn
2021-09-14 17:51:19,greekgodx ,whatmorecanido,hes actually sending it,0,actual send
2021-09-14 17:51:21,greekgodx ,sarah_kittykat,literally leaving Greece OMEGALUL,0,liter OMEGALUL
2021-09-14 17:51:21,greekgodx ,sark3585,monkaW COLLISION COURSE,0,monkaW
2021-09-14 17:51:22,greekgodx ,ivanfunny8,WTF IS WRONG WITH YOU OMEGALUL,0,wrong OMEGALUL
2021-09-14 17:51:22,greekgodx ,ahmet_charts,"dont steer hard, STEER JUST A LITTLE",0,dont steer
2021-09-14 17:51:23,greekgodx ,blessedoff33,ok dud,0,dud
2021-09-14 17:51:23,greekgodx ,seanzn,monkaW,0,monkaW
2021-09-14 17:51:23,greekgodx ,forrestdabs,Jump in.,0,jump
2021-09-14 17:51:23,greekgodx ,usdtether,crash inc monka,0,crash
2021-09-14 17:51:23,greekgodx ,intfanis,peepoSad,0,peepoSad
2021-09-14 17:51:24,greekgodx ,seban___,SMOrc DRIVING A SMALL VW TAXI BOAT SMOrc DRIVING A SMALL VW TAXI BOAT SMOrc DRIVING A SMALL VW TAXI BOAT SMOrc DRIVING A SMALL VW TAXI BOAT,0,drive small taxi boat
2021-09-14 17:51:24,greekgodx ,haj_oon,monkaW STEER,0,monkaW steer
2021-09-14 17:51:25,greekgodx ,leeqox,Alarm turn up the volume Alarm,0,alarm turn
2021-09-14 17:51:25,greekgodx ,stanmeister,BOOBA,0,BOOBA
2021-09-14 17:51:25,greekgodx ,marcfryd,????? you got a whole water bottle,0,got whole water
2021-09-14 17:51:25,greekgodx ,paxt___,BOOBA,0,BOOBA
2021-09-14 17:51:25,greekgodx ,superevilfinn,TWO GIRLS,0,two girl
2021-09-14 17:51:26,greekgodx ,buckslayr91,Dont drown Grek Sadge,0,dont drown Sadge
2021-09-14 17:51:26,greekgodx ,zacke24rj,BOOBA,0,BOOBA
2021-09-14 17:51:26,greekgodx ,igbl_,go with the wind,0,go wind
2021-09-14 17:51:26,greekgodx ,dillydaddlescallywagger,i love when rosh and greek are together,0,love
2021-09-14 17:51:27,greekgodx ,elongated_musketeer,LULW,0,LULW
2021-09-14 17:51:27,greekgodx ,olmas973,monkaW GIRLS,0,monkaW girl
2021-09-14 17:51:27,greekgodx ,rayase_,OMEGALUL,0,OMEGALUL
2021-09-14 17:51:27,greekgodx ,fletchdawg,girls DansGame,0,girl
2021-09-14 17:51:27,greekgodx ,travinatorog,STREAM SNIPERS IRL monkaW,0,stream sniper monkaW
2021-09-14 17:51:27,greekgodx ,ngx_echo,OMEGALUL,0,OMEGALUL
2021-09-14 17:51:27,greekgodx ,siosefa,gorilla,0,gorilla
2021-09-14 17:51:28,greekgodx ,erixp,BOOBA,0,BOOBA
2021-09-14 17:51:28,greekgodx ,ali0who,LULW,0,LULW
2021-09-14 17:51:28,greekgodx ,vitacrown,OMEGALUL,0,OMEGALUL
2021-09-14 17:51:28,greekgodx ,bangkeys,Irl stream snipers Lmaoo,0,stream sniper
2021-09-14 17:51:29,greekgodx ,archichnect,BOOBA,0,BOOBA
2021-09-14 17:51:29,greekgodx ,fluxenis,BOOBA,0,BOOBA
2021-09-14 17:51:29,greekgodx ,grazahn1,BOOBA ?,0,BOOBA
2021-09-14 17:51:29,greekgodx ,paxt___,SPIT GAME,0,spit game
2021-09-14 17:51:29,greekgodx ,leeqox,girls greekDitch,0,girl
2021-09-14 17:51:29,greekgodx ,paxu_1989,abord them,0,abord
2021-09-14 17:51:29,greekgodx ,ilikejollibee,BOOBA ?,0,BOOBA
2021-09-14 17:51:29,greekgodx ,i_am_nab,DansGame GIRLS,0,girl
2021-09-14 17:51:29,greekgodx ,dreammistm,TRUEING,0,true
2021-09-14 17:51:29,greekgodx ,sark3585,TRUEING,0,true
2021-09-14 17:51:29,greekgodx ,skt1,GO,0,go
2021-09-14 17:51:29,greekgodx ,invert3brat,TRUEING,0,true
2021-09-14 17:51:29,greekgodx ,ahmet_charts,"dont  steer hard, STEER JUST A LITTLE",0,dont steer
2021-09-14 17:51:30,greekgodx ,betweenwas,OMEGALUL,0,OMEGALUL
2021-09-14 17:51:30,greekgodx ,zedykku,LULW,0,LULW
2021-09-14 17:51:30,greekgodx ,superevilfinn,Two girls BOOBA,0,two girl BOOBA
2021-09-14 17:51:30,greekgodx ,ant__k,BOOBA,0,BOOBA
2021-09-14 17:51:30,greekgodx ,starkgaryen1,OMEGALUL,0,OMEGALUL
2021-09-14 17:51:30,greekgodx ,ammoow,LULW,0,LULW
2021-09-14 17:51:30,greekgodx ,gianfrishow,BOOBA ?,0,BOOBA
2021-09-14 17:51:31,greekgodx ,fletchdawg,girls DansGame girls DansGame girls DansGame girls DansGame girls DansGame,0,girl
2021-09-14 17:51:31,greekgodx ,jamboxp,EZ,0,EZ
2021-09-14 17:51:31,greekgodx ,darkight1011,lol its two girls,0,two girl
2021-09-14 17:51:31,greekgodx ,sirwaddleton,BOOBA,0,BOOBA
2021-09-14 17:51:31,greekgodx ,ali0who,TRUEING,0,true
2021-09-14 17:51:31,greekgodx ,taeroni,OMEGALUL,0,OMEGALUL
2021-09-14 17:51:31,greekgodx ,fluxenis,BOOBA hol up,0,BOOBA
2021-09-14 17:51:31,greekgodx ,alrycath,LULW,0,LULW
2021-09-14 17:51:31,greekgodx ,elongated_musketeer,BOOBA,0,BOOBA
2021-09-14 17:51:31,greekgodx ,sarah_kittykat,OMEGALUL,0,OMEGALUL
2021-09-14 17:51:32,greekgodx ,superpiie,TRUEING,0,true
2021-09-14 17:51:32,greekgodx ,invincible_vltrm,TWO ? BOOBA,0,two BOOBA
2021-09-14 17:51:32,greekgodx ,the_pob,Ergh girls,0,girl
2021-09-14 17:51:32,greekgodx ,ggx_goblin,OMEGALUL,0,OMEGALUL
2021-09-14 17:51:33,greekgodx ,ant__k,BOOBA 󠀀,0,BOOBA
2021-09-14 17:51:33,greekgodx ,zedykku,TRUEING,0,true
2021-09-14 17:51:33,greekgodx ,darkight1011,boobe,0,boob
2021-09-14 17:51:33,greekgodx ,0emmettt,They arent much use,0,arent much use
2021-09-14 17:51:34,greekgodx ,thah4x0r,ugh girls,0,ugh girl
2021-09-14 17:51:34,greekgodx ,leeqox,girls greekDitch,0,girl
2021-09-14 17:51:34,greekgodx ,paxt___,BOOBA SPIT GAME,0,BOOBA spit game
2021-09-14 17:51:34,greekgodx ,feelsokayegman,TRUEING,0,true
2021-09-14 17:51:35,greekgodx ,exiledxinsanity,show them your muscles,0,show
2021-09-14 17:51:35,greekgodx ,josuke_pog,DansGame GIRLS,0,girl
2021-09-14 17:51:35,greekgodx ,superevilfinn,BOOBA DATE,0,BOOBA date
2021-09-14 17:51:35,greekgodx ,stanmeister,MaN,0,man
2021-09-14 17:51:35,greekgodx ,fartecho,GET BACK monkaW,0,get back monkaW
2021-09-14 17:51:35,greekgodx ,elongated_musketeer,GIRLS DansGame,0,girl
2021-09-14 17:51:35,greekgodx ,paxu_1989,ABORD THEM,0,abord
2021-09-14 17:51:35,greekgodx ,jamboxp,EZ Go to them EZ Go to them EZ Go to them EZ Go to them EZ Go to them EZ Go to them,0,EZ go
2021-09-14 17:51:35,greekgodx ,mangokagaan,BOOBA,0,BOOBA
2021-09-14 17:51:36,greekgodx ,marcfryd,LULW,0,LULW
2021-09-14 17:51:36,greekgodx ,spike_77,BOOBA,0,BOOBA
2021-09-14 17:51:36,greekgodx ,vloop22,OMEGALUL,0,OMEGALUL
2021-09-14 17:51:36,greekgodx ,ali0who,MaN,0,man
2021-09-14 17:51:36,greekgodx ,cmonbruh_420,TRUEING NVM,0,true
2021-09-14 17:51:37,greekgodx ,vinceng97,BOOBA,0,BOOBA
2021-09-14 17:51:37,greekgodx ,sark3585,BOOBA,0,BOOBA
2021-09-14 17:51:37,greekgodx ,paracosmdd,BOOBA,0,BOOBA
2021-09-14 17:51:37,greekgodx ,ilikejollibee,two BOOBA ?,0,two BOOBA
2021-09-14 17:51:37,greekgodx ,vitacrown,FAKE TAXI PagMan FAKE TAXI PagMan FAKE TAXI PagMan FAKE TAXI PagMan FAKE TAXI PagMan FAKE TAXI PagMan FAKE TAXI PagMan,0,fake taxi
2021-09-14 17:51:37,greekgodx ,mehditelepati07,"steer opposite direction that you want to go : left to right, right to left",0,steer opposite direct want go left right
2021-09-14 17:51:37,greekgodx ,superevilfinn,BOOBA SEX,0,BOOBA sex
2021-09-14 17:51:38,greekgodx ,barca_mafia,2 ft deep water OMEGALUL,0,deep water OMEGALUL
2021-09-14 17:51:38,greekgodx ,ahmet_charts,"dont steer hard, STEER JUST A LITTLE",0,dont steer
2021-09-14 17:51:38,greekgodx ,suddym8,then wot,0,wot
2021-09-14 17:51:38,greekgodx ,infinitehype123,Saved,0,save
2021-09-14 17:51:38,greekgodx ,triduum,BOOBA Girls,0,BOOBA girl
2021-09-14 17:51:39,greekgodx ,2001_mazda_protege,forsenCD :victory_hand:,0,:victory_hand:
2021-09-14 17:51:39,greekgodx ,lordisaac_,TRUEING,0,true
2021-09-14 17:51:39,greekgodx ,jamboxp,EZ Go to them EZ Go to them EZ Go to them EZ Go to them EZ Go to them EZ Go to them EZ Go to them EZ Go to them EZ Go to them EZ Go to them,0,EZ go
2021-09-14 17:51:39,greekgodx ,spike_o5,OMEGALUL,0,OMEGALUL
2021-09-14 17:51:40,greekgodx ,eskilomannn,2 girls 1 boat KEKW,0,girl boat
2021-09-14 17:51:40,greekgodx ,betweenwas,EZ,0,EZ
2021-09-14 17:51:41,greekgodx ,africanplaya,DansGame TRUEING,0,true
2021-09-14 17:51:41,greekgodx ,huck110,STREAM SNIPERS LUL,0,stream sniper LUL
2021-09-14 17:51:41,greekgodx ,invincible_vltrm,BOOBA,0,BOOBA
2021-09-14 17:51:41,greekgodx ,fredreset,ask if they called for a uber,0,ask call
2021-09-14 17:51:41,greekgodx ,snokey_,realvrScared girls,0,girl
2021-09-14 17:51:42,greekgodx ,rs3isbetterree,BOOBA,0,BOOBA
2021-09-14 17:51:42,greekgodx ,leeqox,OMEGALUL,0,OMEGALUL
2021-09-14 17:51:43,greekgodx ,ahmet_charts,"dont  steer hard, STEER JUST A LITTLE",0,dont steer
2021-09-14 17:51:43,greekgodx ,rayase_,BOOBA,0,BOOBA
2021-09-14 17:51:43,greekgodx ,dannystylez424,LULW,0,LULW
2021-09-14 17:51:43,greekgodx ,stanmeister,peepoHey hi,0,hi
2021-09-14 17:51:43,greekgodx ,superevilfinn,BOOBA SEX TIME,0,BOOBA sex time
2021-09-14 17:51:44,greekgodx ,nowthatswhaticallkkona,LULW,0,LULW
2021-09-14 17:51:44,greekgodx ,pygmy0,EZ Clap,0,EZ Clap
2021-09-14 17:51:44,greekgodx ,gianfrishow,BOOBA,0,BOOBA
2021-09-14 17:51:45,greekgodx ,tk0777,LUL,0,LUL
2021-09-14 17:51:45,greekgodx ,paxt___,PogU,0,PogU
2021-09-14 17:51:45,greekgodx ,nocapintended,OMEGALUL,0,OMEGALUL
2021-09-14 17:51:46,greekgodx ,wavydelics,stranded at sea OMEGALUL,0,strand sea OMEGALUL
2021-09-14 17:51:47,greekgodx ,morrissingss,GET IN,0,get
2021-09-14 17:51:47,greekgodx ,superevilfinn,SEX TIME,0,sex time
2021-09-14 17:51:47,greekgodx ,sark3585,TwaT,0,twat
2021-09-14 17:51:47,greekgodx ,paxt___,EZ,0,EZ
2021-09-14 17:51:49,greekgodx ,erixp,OMEGALUL,0,OMEGALUL
2021-09-14 17:51:49,greekgodx ,gabenator,BOOBA,0,BOOBA
2021-09-14 17:51:49,greekgodx ,hyeimshy,carried by woman KEKDriving,0,woman
2021-09-14 17:51:49,greekgodx ,ben420_,EZ Clap,0,EZ Clap
2021-09-14 17:51:49,greekgodx ,stanmeister,monkaW,0,monkaW
