Date,Channel,Username,Message,Tag_owner
2023-01-28 23:54:33,denims ,kirklandia_,PepeLa,0
2023-01-28 23:54:35,denims ,yossaarian,its fair too many pos that are named slick slicker,0
2023-01-28 23:54:35,denims ,lilijil,@jamesdm I'm not debating anything loudly_crying_face I just @ a chatter who said something I seen a lotta other fragile losers say but my bad I thought you was being a centrist on the topic,0
2023-01-28 23:54:35,denims ,rydahryot,imagine getting owned this hard by a nerd,0
2023-01-28 23:54:35,denims ,seit0,that trial really broke so many people,0
2023-01-28 23:54:35,denims ,grzlyp1,asmongold a bitch tho on god,0
2023-01-28 23:54:35,denims ,funksupreme,?????,0
2023-01-28 23:54:35,denims ,lockmeowt,dnmBuff gatekeeper,0
2023-01-28 23:54:35,denims ,hettaw,OMFG,0
2023-01-28 23:54:35,denims ,rydahryot,get fucked slick,0
2023-01-28 23:54:35,denims ,dansoddity,OMEGALUL,0
2023-01-28 23:54:35,denims ,scare_crow_n,based though TBH,0
2023-01-28 23:54:35,denims ,diedrei,good sentiment but still BatChest JOHNNY DEPP,0
2023-01-28 23:54:35,denims ,bagelsandloadedlox,KEKW,0
2023-01-28 23:54:36,denims ,mattygyptian,lmao,0
2023-01-28 23:54:36,denims ,starbuckswitch,hasChud addiction= moral failure,0
2023-01-28 23:54:36,denims ,i_am_the_dew_it,OOF,0
2023-01-28 23:54:37,denims ,typhoonbh,@NextLifeAfter widepeepoSad true,0
2023-01-28 23:54:37,denims ,navak4seven,@NavAK4Seven And Tiger Woods made more than all the white golfers. So what?,0
2023-01-28 23:54:37,denims ,kxo72,@NavAK4Seven mental gymnastics is crazy,0
2023-01-28 23:54:38,denims ,versoh_818,KEKW,0
2023-01-28 23:54:38,denims ,chrig666,bro who is he talking to lmfao,0
2023-01-28 23:54:38,denims ,carlosss_estevez,Crazy slicker,0
2023-01-28 23:54:38,denims ,definitelynotdusto,OMEGALUL,0
2023-01-28 23:54:38,denims ,reuubs,TOOBASED,0
2023-01-28 23:54:39,denims ,juxsdo,he get banned for that?,0
2023-01-28 23:54:40,denims ,dean021,"@NavAK4Seven ""weak knees, arms are heavy""",0
2023-01-28 23:54:41,denims ,suburbanerrorist_,unPOGGERS,0
2023-01-28 23:54:42,denims ,47crucial,holyshit,0
2023-01-28 23:54:42,denims ,intensegirthquake,W TAKE,0
2023-01-28 23:54:43,denims ,potrues,OMG,0
2023-01-28 23:54:43,denims ,nemonal,BR OMEGALUL,0
2023-01-28 23:54:43,denims ,selenemalis,asmon is such a bitch baby,0
2023-01-28 23:54:43,denims ,gorbograndman,he ulted,0
2023-01-28 23:54:43,denims ,gotham____,KEKW,0
2023-01-28 23:54:44,denims ,anxiousdumpling,KEKW,0
2023-01-28 23:54:44,denims ,saxypandabear,hasChud,0
2023-01-28 23:54:44,denims ,justgery,"@ArchReaper7 i thought you said you werent here to teach, yet here we are",0
2023-01-28 23:54:48,denims ,kamptotic,oooo the malding is insane,0
2023-01-28 23:54:49,denims ,veggietableh,"@NavAK4Seven what is institutional about one dumb fuck going around insulting white people? Nothing. That's the point, white supremacy has the power of the institutions that this country is founded upon",0
2023-01-28 23:54:49,denims ,thehappyparadox,Why isn't he banned?!?,0
2023-01-28 23:54:50,denims ,expires_,imGlitch but... the viewership,0
2023-01-28 23:54:50,denims ,47crucial,is he banned?,0
2023-01-28 23:54:51,denims ,d00dlebirb,He didn't get banned for this chat,0
2023-01-28 23:54:51,denims ,bradabing,so he didnt say KYS?,0
2023-01-28 23:54:51,denims ,fusion_x,"@juxsdo Actually no, he completely avoided a ban for that",0
2023-01-28 23:54:51,denims ,starbuckswitch,hasChud punishment,0
2023-01-28 23:54:53,denims ,humansupriyo,INSANELY rare asmon w,0
2023-01-28 23:54:53,denims ,greshark,"@NavAK4Seven no white person is being oppressed for being white, what braindead takes you have",0
2023-01-28 23:54:53,denims ,piouslambda,IN MINECRAFT!,0
2023-01-28 23:54:53,denims ,fireflowergoddess,wow I never saw that clip,0
2023-01-28 23:54:54,denims ,loosereign,real,0
2023-01-28 23:54:54,denims ,gatoradez3ro,LowTierGod is that you? modCheck,0
2023-01-28 23:54:54,denims ,satchmobronson,"@ArchReaper7 i have no idea who Bruce is, this clip is the first i've seen of him. i'm not a ""bruce fan"" i just know that the c-word isn't racist and only morons think that it is",0
2023-01-28 23:54:55,denims ,amhowell,"@ArchReaper7 the thing on monday involved slave catchers, minimizing the harm that could happen is pro slavery behavior. every race has people that support slavery, but reactionary white people claim only they are allowed to. stop erasing the non white c words",0
2023-01-28 23:54:55,denims ,veggietableh,@NavAK4Seven OMEGADANCE TIGET WOODS,0
2023-01-28 23:54:56,denims ,starbuckswitch,mjinxUnPOGGERS,0
2023-01-28 23:54:57,denims ,jesterbrymstone,PepeLa,0
2023-01-28 23:54:57,denims ,piouslambda,"phew, saved it",0
2023-01-28 23:54:57,denims ,pkpokeman,he didnt get banned which is a clear double standard regardless of context,0
2023-01-28 23:54:58,denims ,overshotlyric,@juxsdo no he did not get banned,0
2023-01-28 23:55:00,denims ,jackburtonbt,"@ArchReaper7 again, no systemic oppression backing the words only means ""mean words hurt my white ass fealings""",0
2023-01-28 23:55:01,denims ,dansoddity,it gets wild on zackrawr,0
2023-01-28 23:55:02,denims ,maikonix,Like straight up to the point xD,0
2023-01-28 23:55:02,denims ,zacktsnack,hahaha,0
2023-01-28 23:55:03,denims ,beantransfer,"Asmon is god to the neckbeards, hes safe",0
2023-01-28 23:55:05,denims ,mattygyptian,mjinxW,0
2023-01-28 23:55:06,denims ,jawnbedge,@NavAK4Seven I hope you Asmond Gold Yourself,0
2023-01-28 23:55:07,denims ,lockmeowt,"excuse me, hile i KISS THIS GUY",0
2023-01-28 23:55:10,denims ,fellini_fiend,"it doesn’t even show the rest, a chatter asked in Minecraft or video game right and he responds no, in real life",0
2023-01-28 23:55:11,denims ,guadaloopz,WHITE MAN ULT @DENIMS FR,0
2023-01-28 23:55:12,denims ,veggietableh,@NavAK4Seven either respond to me or just admit you're dumber than dirt OMEGADANCE,0
2023-01-28 23:55:13,denims ,jamesdm,"@lilijil, KEKW no, I was just trying to preemptively stop the convo because if you look in chat it's going exactly how it always goes OMEGADANCE",0
2023-01-28 23:55:14,denims ,domiinicus,only asmond coded peeps get to say it not Bruce xD,0
2023-01-28 23:55:14,denims ,thesparrow_gray,White privileged vs black privilege,0
2023-01-28 23:55:21,denims ,daveyamir,Based,0
2023-01-28 23:55:21,denims ,navak4seven,"Nobody is being oppressed, I'm from the Middle East, STFU",0
2023-01-28 23:55:22,denims ,warnikorn,Thats what playing Wow for a long time does to you,0
2023-01-28 23:55:22,denims ,choirboii,@NavAK4Seven modCheck when did that happen?,0
2023-01-28 23:55:22,denims ,obrigaah,@NavAK4Seven OMEGADANCE OMEGADANCE OMEGADANCE NOOOOO you are so stupid KEKL,0
2023-01-28 23:55:22,denims ,starsyth,"Guess Twitch draws the line between ""Hoping"" someone dies and ""Telling"" someone to die",0
2023-01-28 23:55:23,denims ,jiff_d,@ navak4seven MODS,0
2023-01-28 23:55:26,denims ,vyxzenlyxzen,@navak4seven you are a chode,0
2023-01-28 23:55:27,denims ,grzlyp1,FREE DEO FREE DEO FREE DEO FREE DEO FREE DEO FREE DEO FREE DEO FREE DEO FREE DEO FREE DEO FREE DEO,0
2023-01-28 23:55:29,denims ,fusion_x,Not permanent just not determined,0
2023-01-28 23:55:33,denims ,archreaper7,@JackBurtonBT your argument is wrong and ignorant and i'm not going to bother trying to enlighten you on that one,0
2023-01-28 23:55:36,denims ,bigmano23,after 30 days,0
2023-01-28 23:55:36,denims ,d00dlebirb,FREE bdeoDEO,0
2023-01-28 23:55:37,denims ,pkpokeman,given his size i am sure he will get unbanned tbh,0
2023-01-28 23:55:37,denims ,starywars,Isn't every twitch ban start indefinite?,0
2023-01-28 23:55:38,denims ,navak4seven,Banning ppl with differing opinions is CRINGE,0
2023-01-28 23:55:38,denims ,juxsdo,indefinite period,0
2023-01-28 23:55:39,denims ,dragonllama12,They'll unban him,0
2023-01-28 23:55:42,denims ,mr_duko,Like the month Adin Ross got,0
2023-01-28 23:55:43,denims ,lockmeowt,"""In perpetuity""",0
2023-01-28 23:55:44,denims ,jesterbrymstone,it mean no clear time has been decided,0
2023-01-28 23:55:46,denims ,guadaloopz,FeelsDankMan,0
2023-01-28 23:55:47,denims ,bagelsandloadedlox,I'm impressed by the one guy in this chat who's just committed to being consistently cringe,0
2023-01-28 23:55:48,denims ,veggietableh,@NavAK4Seven THEN YOU ARE LITERALLY BEING OPPRESSED BY WHITE U.S. IMPERIALISM WHY ARE YOU SIMPING FOR THE PEOPLE THAT DESTROY YOU YOU FUCKING DOLT OMEGADANCE,0
2023-01-28 23:55:49,denims ,hasan_lurker,he'll be fine Prayge,0
2023-01-28 23:55:50,denims ,saxypandabear,Man we have two intellectuals in the chat huh,0
2023-01-28 23:55:50,denims ,nemonal,definitely vs indefinitely is like flammable vs inflammable Kappa,0
2023-01-28 23:55:54,denims ,maikonix,Hopefully he gets unbanned,0
2023-01-28 23:55:54,denims ,jiff_d,@pkpokeman well remember doc got banned,0
2023-01-28 23:55:56,denims ,navak4seven,How do u challenge ideas if you only surround yourself with like-minded individuals?,0
2023-01-28 23:55:57,denims ,fusion_x,Erobb was permanently banned but appealed it down to 30 days,0
2023-01-28 23:55:57,denims ,beantransfer,@NavAK4Seven youre not even banned stop crying,0
2023-01-28 23:55:59,denims ,mattygyptian,"a definite ban, if you will",0
2023-01-28 23:56:00,denims ,guadaloopz,FeelsDankMan que,0
2023-01-28 23:56:00,denims ,nintenchrisx2,@NavAK4Seven Your cringe,0
2023-01-28 23:56:03,denims ,mr_duko,and th emonth Erobb got,0
2023-01-28 23:56:04,denims ,gwenefarious,“Banning nazis is cringe”,0
2023-01-28 23:56:05,denims ,nextlifeafter,You only ban people of the same opinion then? sumS @NavAK4Seven,0
2023-01-28 23:56:06,denims ,adan_oki,idefinite means till decision is made?,0
2023-01-28 23:56:09,denims ,jeemstate,@NavAK4Seven cry more u big ol baby,0
2023-01-28 23:56:09,denims ,intensegirthquake,@NavAK4Seven you're*,0
2023-01-28 23:56:11,denims ,thesparrow_gray,He’s getting a hero’s welcome after this 2020Forward,0
2023-01-28 23:56:11,denims ,my_little_grey_name,We should really stop calling them bans and call them suspensions,0
2023-01-28 23:56:13,denims ,pkpokeman,@Jiff_D good point actually,0
2023-01-28 23:56:14,denims ,grzlyp1,@NavAK4Seven SHUT YO BITCH ASS UP,0
2023-01-28 23:56:16,denims ,jackburtonbt,@ArchReaper7 why are you in this chat then? everyone saying you and the 1 other chatter saying the same dumb shit is wrong. good luck in your life,0
2023-01-28 23:56:20,denims ,obrigaah,@NavAK4Seven you are not even banned KEKL,0
2023-01-28 23:56:23,denims ,osheen,PepeLa C,0
2023-01-28 23:56:24,denims ,navak4seven,"@veggietableh I'm a brown guy, never been oppressed in my entire life. Nor my family. Nor my brown friends. NONe of us have been oppressed. Our home countries were oppressive.",0
2023-01-28 23:56:27,denims ,dirtymerlin,@navak4seven you think you’re spittin rn KEKL,0
2023-01-28 23:56:27,denims ,veggietableh,God this chatter is so stupid its amazing,0
2023-01-28 23:56:30,denims ,fiiiilth,that's a self report if you think that,0
2023-01-28 23:56:30,denims ,fireflowergoddess,Aren't there ppl who have been banned for over a year with indef ban?,0
2023-01-28 23:56:31,denims ,d00dlebirb,He said what he said TOOBASED,0
2023-01-28 23:56:31,denims ,luludefonz,It wasnt even a rant!,0
2023-01-28 23:56:32,denims ,blkobsidiannn,NotLikeThis,0
2023-01-28 23:56:32,denims ,kxo72,@NavAK4Seven you partly grew up in a country where you lived with people who were way more ethnically similar to you. also you can't speak on the black experience on black people in America or the rest of the west. respectfully stfu,0
2023-01-28 23:56:32,denims ,shaken_bake,lsf is all fragile whyte snowflakes,0
2023-01-28 23:56:32,denims ,lockmeowt,OTK in shambles,0
2023-01-28 23:56:32,denims ,ihave12cats,he should be unbanned if asmon didnt catch one,0
2023-01-28 23:56:33,denims ,jawnbedge,"@NavAK4Seven Your ""friends"" at best tolerate you",0
2023-01-28 23:56:33,denims ,satchmobronson,@veggietableh lol,0
2023-01-28 23:56:33,denims ,oiled_pebbles,ITS NOT OMEGADANCE,0
2023-01-28 23:56:34,denims ,starywars,"It ain't racist, but you really can't tell people to kiss themselves",0
2023-01-28 23:56:36,denims ,bigmano23,those are the twitch rules tho?,0
2023-01-28 23:56:36,denims ,jiff_d,@fusion_x why did erobb get banned,0
2023-01-28 23:56:36,denims ,thandrea_20,NODDERS,0
2023-01-28 23:56:37,denims ,fellini_fiend,@obrigaah yet peepoSmile,0
2023-01-28 23:56:40,denims ,voodoo_in_witchspace,if you think its a racist rant its because you are a whiney little bitchboy racist peepoSmile,0
2023-01-28 23:56:41,denims ,definitelynotdusto,NERDGING you're*,0
2023-01-28 23:56:43,denims ,navak4seven,Let  me cook @Denims,0
2023-01-28 23:56:43,denims ,lilbrownied,"that chatter has a kink, yall.",0
2023-01-28 23:56:44,denims ,kxo72,and on social media in general,0
2023-01-28 23:56:49,denims ,obrigaah,@Fellini_Fiend dnmGun,0
2023-01-28 23:56:49,denims ,whykillbeep,c word D:,0
2023-01-28 23:56:49,denims ,thelonelystoner90,white people dont even really exist,0
2023-01-28 23:56:55,denims ,selenemalis,my gringo,0
2023-01-28 23:56:55,denims ,jayzoosx,wheat thins are surprisingly fragile,0
2023-01-28 23:56:55,denims ,thehappyparadox,Chatting,0
2023-01-28 23:56:56,denims ,vyxzenlyxzen,@navak4seven Are you and the other chud in chat the same person on 2 different accounts?,0
2023-01-28 23:56:56,denims ,guadaloopz,also ask someone what the c word is they aint saying that word first,0
2023-01-28 23:56:58,denims ,jackburtonbt,@veggietableh oh wow everyone hear that! this dude has never experiance oppression! therefore it doesnt exist!,0
2023-01-28 23:56:59,denims ,thandrea_20,"@NavAK4Seven, YOU ARE NOT COOKING SHIT BRO OMEGADANCE",0
2023-01-28 23:57:02,denims ,dean021,"@veggietableh I used to think that, and then realized I would get in trouble growing up without offending as much as my white peers.",0
2023-01-28 23:57:03,denims ,lilijil,@jamesdm yeah I got you now & you right lmao it's just hard to not @ dickheads sometimes when they talk out their ass,0
2023-01-28 23:57:04,denims ,d00dlebirb,"@NavAK4Seven you ain't cooking shit, you're burning down the kitchen",0
2023-01-28 23:57:04,denims ,thehappyparadox,Essaying,0
2023-01-28 23:57:05,denims ,fireflowergoddess,Racism is a systemic reality,0
2023-01-28 23:57:05,denims ,gorbograndman,@obrigaah new pet,0
2023-01-28 23:57:06,denims ,fusion_x,"@Jiff_D Erobb told a community member in an offline chat he was gonna beat them at TwitchCon, except it was a meme in his community and not serious but Twitch took it seriously",0
2023-01-28 23:57:08,denims ,anxiousdumpling,@navak4seven why are you having conversations with yourself in a twitch chat lmao it's so sad,0
2023-01-28 23:57:09,denims ,meinekemanr6,"It’s interpersonal racism, just not that harmful",0
2023-01-28 23:57:11,denims ,starsyth,"If a white dude said, word for word what he said. They would be perma-banned.",0
2023-01-28 23:57:12,denims ,definitelynotdusto,yt ppl smell like mayonaise,0
2023-01-28 23:57:12,denims ,oiled_pebbles,cmonnn us crackers are blatantly winning in a broken system and people still think we’re opressed OMEGALUL,0
2023-01-28 23:57:12,denims ,bshap349,mizkif is actually italian not white sweaty,0
2023-01-28 23:57:12,denims ,fson_,twitch has a very different opinion on the c word tho,0
2023-01-28 23:57:12,denims ,grzlyp1,@NavAK4Seven YOU COOKING DICK MEAT STEW,0
2023-01-28 23:57:14,denims ,veggietableh,@NavAK4Seven You've never experienced any kind of racism or struggle for being brown? You haven't been accosted by TSA? You haven't been hassled for being an A-rab? None of your friends or family has experienced any racism?,0
2023-01-28 23:57:15,denims ,kxo72,racism is also interpersonal. but its more so systemic,0
2023-01-28 23:57:15,denims ,absyn__,@ThAndrea_20 he's just ban fishing,0
2023-01-28 23:57:16,denims ,navak4seven,I've never experienced racism in America and i'm a Middle Eastern brown guy who grew up in Texas @Denims,0
2023-01-28 23:57:16,denims ,pkpokeman,"As a white man there is no way this was racist at all, you cannot be racist in any meaningful way to the group that is ""in power"" in one way or another, it is just ridiculous reactionary shit",0
2023-01-28 23:57:18,denims ,bigmano23,no hes not hes talking about destiny a youtube streamer and racist viewers @Denims,0
