Date,Channel,Username,Message,Tag_owner,Cleanest_message
2023-01-28 23:54:35,denims ,yossaarian,its fair too many pos that are named slick slicker,0,fair po slicker
2023-01-28 23:54:35,denims ,lilijil,@jamesdm I'm not debating anything loudly_crying_face I just @ a chatter who said something I seen a lotta other fragile losers say but my bad I thought you was being a centrist on the topic,0,loser bad
2023-01-28 23:54:35,denims ,rydahryot,imagine getting owned this hard by a nerd,0,hard nerd
2023-01-28 23:54:35,denims ,seit0,that trial really broke so many people,0,broke
2023-01-28 23:54:35,denims ,grzlyp1,asmongold a bitch tho on god,0,bitch god
2023-01-28 23:54:35,denims ,rydahryot,get fucked slick,0,fuck
2023-01-28 23:54:35,denims ,dansoddity,OMEGALUL,0,OMEGALUL
2023-01-28 23:54:35,denims ,diedrei,good sentiment but still BatChest JOHNNY DEPP,0,good
2023-01-28 23:54:37,denims ,typhoonbh,@NextLifeAfter widepeepoSad true,0,true
2023-01-28 23:54:38,denims ,chrig666,bro who is he talking to lmfao,0,lao
2023-01-28 23:54:38,denims ,carlosss_estevez,Crazy slicker,0,slicker
2023-01-28 23:54:38,denims ,definitelynotdusto,OMEGALUL,0,OMEGALUL
2023-01-28 23:54:39,denims ,juxsdo,he get banned for that?,0,ban
2023-01-28 23:54:43,denims ,nemonal,BR OMEGALUL,0,OMEGALUL
2023-01-28 23:54:43,denims ,selenemalis,asmon is such a bitch baby,0,bitch
2023-01-28 23:54:49,denims ,veggietableh,"@NavAK4Seven what is institutional about one dumb fuck going around insulting white people? Nothing. That's the point, white supremacy has the power of the institutions that this country is founded upon",0,dumb fuck insult ha
2023-01-28 23:54:51,denims ,d00dlebirb,He didn't get banned for this chat,0,ban
2023-01-28 23:54:51,denims ,fusion_x,"@juxsdo Actually no, he completely avoided a ban for that",0,avoid ban
2023-01-28 23:54:51,denims ,starbuckswitch,hasChud punishment,0,punish
2023-01-28 23:54:53,denims ,fireflowergoddess,wow I never saw that clip,0,wow
2023-01-28 23:54:54,denims ,satchmobronson,"@ArchReaper7 i have no idea who Bruce is, this clip is the first i've seen of him. i'm not a ""bruce fan"" i just know that the c-word isn't racist and only morons think that it is",0,racist moron
2023-01-28 23:54:55,denims ,amhowell,"@ArchReaper7 the thing on monday involved slave catchers, minimizing the harm that could happen is pro slavery behavior. every race has people that support slavery, but reactionary white people claim only they are allowed to. stop erasing the non white c words",0,harm ha support allow stop
2023-01-28 23:54:57,denims ,piouslambda,"phew, saved it",0,save
2023-01-28 23:54:57,denims ,pkpokeman,he didnt get banned which is a clear double standard regardless of context,0,ban clear
2023-01-28 23:54:58,denims ,overshotlyric,@juxsdo no he did not get banned,0,ban
2023-01-28 23:55:00,denims ,jackburtonbt,"@ArchReaper7 again, no systemic oppression backing the words only means ""mean words hurt my white ass fealings""",0,hurt ass
2023-01-28 23:55:02,denims ,maikonix,Like straight up to the point xD,0,like straight ad
2023-01-28 23:55:03,denims ,beantransfer,"Asmon is god to the neckbeards, hes safe",0,god safe
2023-01-28 23:55:06,denims ,jawnbedge,@NavAK4Seven I hope you Asmond Gold Yourself,0,hope
2023-01-28 23:55:07,denims ,lockmeowt,"excuse me, hile i KISS THIS GUY",0,kiss
2023-01-28 23:55:12,denims ,veggietableh,@NavAK4Seven either respond to me or just admit you're dumber than dirt OMEGADANCE,0,admit dumber dirt
2023-01-28 23:55:13,denims ,jamesdm,"@lilijil, KEKW no, I was just trying to preemptively stop the convo because if you look in chat it's going exactly how it always goes OMEGADANCE",0,stop
2023-01-28 23:55:14,denims ,domiinicus,only asmond coded peeps get to say it not Bruce xD,0,ad
2023-01-28 23:55:22,denims ,warnikorn,Thats what playing Wow for a long time does to you,0,play wow
2023-01-28 23:55:22,denims ,obrigaah,@NavAK4Seven OMEGADANCE OMEGADANCE OMEGADANCE NOOOOO you are so stupid KEKL,0,stupid
