index,Values
pepela,31
fair,1
mani,7
po,1
name,1
slick,2
slicker,2
@jamesdm,10
i'm,20
debat,14
anyth,7
loudly_crying_fac,1
@,4
chatter,15
said,20
someth,4
seen,3
lotta,1
fragil,4
loser,2
say,36
bad,12
thought,7
wa,33
centrist,1
topic,3
imagin,3
get,51
thi,57
hard,11
nerd,1
trial,1
realli,8
broke,1
peopl,40
asmongold,1
bitch,5
tho,10
god,6
dnmbuff,2
gatekeep,1
omfg,1
fuck,42
OMEGALUL,17
base,8
though,7
tbh,6
good,21
sentiment,1
still,30
batchest,2
johnni,1
depp,1
kekw,69
lmao,9
haschud,6
addiction=,1
moral,3
failur,1
oof,1
@nextlifeaft,1
widepeeposad,17
true,7
@navak4seven,160
tiger,1
wood,2
made,12
white,38
golfers.,1
what?,3
mental,5
gymnast,2
crazi,4
bro,10
talk,20
lmfao,3
toobas,43
ban,29
that?,6
"""weak",1
"knees,",1
arm,1
"heavy""",1
unpogg,3
holyshit,1
w,6
take,12
omg,3
br,1
asmon,5
babi,3
ult,2
@archreaper7,5
werent,2
"teach,",1
yet,3
oooo,1
mald,1
insan,4
institut,1
one,27
dumb,13
go,30
around,1
insult,11
people?,1
nothing.,1
that',15
"point,",1
supremaci,2
ha,27
power,3
countri,8
found,1
upon,1
whi,27
banned?!?,1
imglitch,1
but...,1
viewership,1
banned?,1
chat,25
didnt,9
kys?,1
@juxsdo,2
actual,17
"no,",5
complet,4
avoid,2
punish,1
rare,1
person,9
oppress,8
"white,",5
braindead,1
minecraft!,1
wow,5
never,30
saw,3
clip,3
real,12
lowtiergod,1
you?,2
modcheck,3
idea,8
bruce,14
"is,",4
first,3
i'v,7
him.,1
"""bruce",1
"fan""",1
know,17
c-word,2
racist,16
onli,22
moron,1
think,29
thing,12
monday,1
involv,2
slave,8
"catchers,",1
minim,2
harm,2
could,6
happen,8
pro,1
slaveri,1
behavior.,1
everi,9
race,5
support,3
"slavery,",1
reactionari,2
claim,1
allow,2
to.,1
stop,14
eras,1
non,2
c,24
word,23
omegad,18
tiget,1
mjinxunpogg,1
"phew,",1
save,2
clear,2
doubl,1
standard,1
regardless,2
context,3
"again,",3
system,6
back,14
mean,17
"""mean",1
hurt,1
ass,8
"fealings""",1
wild,1
zackrawr,1
like,35
straight,4
point,12
xd,2
hahaha,1
"neckbeards,",1
safe,1
mjinxw,1
hope,7
asmond,2
gold,2
excus,4
"me,",2
hile,1
kiss,2
guy,12
doesn’t,2
even,18
show,4
"rest,",1
ask,6
minecraft,3
video,3
game,1
right,8
respond,2
life,5
man,7
@denim,28
fr,2
either,3
admit,3
you'r,32
dumber,1
dirt,1
"@lilijil,",2
tri,15
preemptiv,1
convo,1
becaus,27
look,13
it',31
exactli,3
alway,11
goe,3
code,1
peep,1
privileg,1
vs,4
black,3
nobodi,6
"oppressed,",1
middl,11
"east,",2
stfu,5
play,4
long,3
time,13
doe,8
happen?,1
nooooo,1
stupid,8
kekl,36
guess,8
twitch,10
draw,1
line,1
"""hoping""",1
someon,15
die,12
"""telling""",1
navak4seven,6
mod,3
chode,1
free,12
deo,3
perman,2
determin,1
@jackburtonbt,1
argument,7
wrong,9
ignor,2
bother,1
enlighten,1
30,2
day,6
bdeodeo,1
given,2
hi,16
size,3
sure,6
unban,5
start,6
indefinite?,1
ppl,10
differ,6
opinion,5
cring,4
indefinit,3
period,2
they'll,1
month,4
adin,1
ross,1
got,19
"""in",3
"perpetuity""",1
decid,2
feelsdankman,4
impress,1
who',1
commit,3
consist,1
liter,20
u.s.,3
imperi,6
simp,3
destroy,5
dolt,2
he'll,1
fine,3
prayg,2
two,4
intellectu,2
huh,4
definit,4
flammabl,1
inflamm,1
Kappa,7
@pkpokeman,3
well,6
rememb,2
doc,1
u,11
challeng,3
surround,1
like-mind,1
individuals?,1
erobb,4
appeal,3
cri,6
"ban,",1
que,1
th,1
emonth,1
“ban,1
nazi,1
cringe”,1
then?,2
sum,1
idefinit,1
till,1
decis,2
made?,1
big,9
ol,1
you're*,2
he’,1
hero’,1
welcom,2
2020forward,1
call,16
suspens,1
@jiff_d,3
shut,3
yo,2
everyon,4
1,6
shit,14
wrong.,2
luck,2
@veggietableh,22
brown,5
"guy,",1
entir,6
life.,1
family.,1
friends.,1
none,4
us,16
oppressed.,1
home,4
oppressive.,1
you’r,2
spittin,2
rn,1
amaz,2
self,1
report,4
year,4
indef,1
ban?,1
wasnt,1
rant!,1
notlikethi,3
partli,2
grew,2
live,10
way,10
ethnic,1
similar,1
you.,1
also,19
can't,11
speak,3
experi,10
america,9
rest,1
west.,1
respect,4
