Data,Channel,Username,OriginalMessage,Message
2023-01-28 23:54:33,denims ,kirklandia_,PepeLa,pepela
2023-01-28 23:54:57,denims ,jesterbrymstone,PepeLa,pepela
2023-01-28 23:59:26,denims ,hasan_lurker,PepeLa you can,pepela
2023-01-28 23:59:27,denims ,fiiiilth,PepeLa,pepela
2023-01-28 23:59:40,denims ,ira_q_bella,PepeLa,pepela
2023-01-29 00:02:02,denims ,hasan_lurker,PepeLa,pepela
2023-01-29 00:02:04,denims ,elaanayo,PepeLa,pepela
2023-01-29 00:02:06,denims ,encephalopathy_,PepeLa,pepela
2023-01-29 00:02:08,denims ,obrigaah,PepeLa,pepela
2023-01-29 00:02:09,denims ,gotham____,PepeLa,pepela
2023-01-29 00:02:10,denims ,salemgraves56,PepeLa,pepela
2023-01-29 00:02:11,denims ,pipplupturt,PepeLa,pepela
2023-01-29 00:02:11,denims ,jossiem21,PepeLa,pepela
2023-01-29 00:02:12,denims ,humansupriyo,PepeLa,pepela
2023-01-29 00:02:13,denims ,suburbanerrorist_,PepeLa,pepela
2023-01-29 00:02:16,denims ,engrey,PepeLa,pepela
2023-01-28 23:54:35,denims ,hettaw,OMFG,omfg
2023-01-28 23:54:35,denims ,bagelsandloadedlox,KEKW,kekw
2023-01-28 23:54:38,denims ,versoh_818,KEKW,kekw
2023-01-28 23:54:43,denims ,gotham____,KEKW,kekw
2023-01-28 23:54:44,denims ,anxiousdumpling,KEKW,kekw
2023-01-28 23:57:50,denims ,osheen,KEKW,kekw
2023-01-28 23:57:51,denims ,ghoatheads,KEKW,kekw
2023-01-28 23:57:51,denims ,bagelsandloadedlox,KEKW,kekw
2023-01-28 23:57:52,denims ,funksupreme,KEKW,kekw
2023-01-28 23:57:53,denims ,overshotlyric,KEKW,kekw
2023-01-28 23:57:54,denims ,machineteeth,KEKW,kekw
2023-01-28 23:57:55,denims ,lilbrownied,KEKW,kekw
2023-01-28 23:57:56,denims ,jossiem21,KEKW,kekw
2023-01-28 23:58:01,denims ,pirateidealist,KEKW,kekw
2023-01-28 23:58:01,denims ,blkobsidiannn,KEKW,kekw
2023-01-28 23:58:01,denims ,fellini_fiend,KEKW,kekw
2023-01-28 23:58:01,denims ,humansupriyo,KEKW,kekw
2023-01-28 23:58:05,denims ,herotoxiko,KEKW,kekw
2023-01-28 23:58:29,denims ,fiiiilth,KEKW,kekw
2023-01-28 23:58:30,denims ,chrig666,KEKW,kekw
2023-01-28 23:58:35,denims ,nerdwiththebeanie,KEKW,kekw
2023-01-29 00:00:00,denims ,fellini_fiend,KEKW,kekw
2023-01-29 00:00:00,denims ,pauliwhirl3,KEKW,kekw
2023-01-29 00:00:01,denims ,bagelsandloadedlox,KEKW,kekw
2023-01-29 00:00:03,denims ,fiiiilth,KEKW,kekw
2023-01-29 00:00:09,denims ,engrey,KEKW,kekw
2023-01-29 00:00:10,denims ,47crucial,KEKW,kekw
2023-01-29 00:00:27,denims ,gotham____,KEKW,kekw
2023-01-29 00:04:20,denims ,ghoatheads,KEKW,kekw
2023-01-29 00:14:04,denims ,dragonllama12,KEKW,kekw
2023-01-29 00:17:02,denims ,fiiiilth,KEKW,kekw
2023-01-29 00:17:11,denims ,liukangol,KEKW,kekw
2023-01-29 00:17:12,denims ,blkobsidiannn,KEKW,kekw
2023-01-29 00:17:13,denims ,dieatcola,KEKW,kekw
2023-01-29 00:17:19,denims ,salemgraves56,KEKW,kekw
2023-01-29 00:17:44,denims ,xennotehrogue,KEKW,kekw
2023-01-29 00:22:51,denims ,fiiiilth,KEKW,kekw
2023-01-28 23:54:36,denims ,mattygyptian,lmao,lmao
2023-01-29 00:23:04,denims ,carlosss_estevez,Lmao,lmao
2023-01-29 00:23:09,denims ,p3rilous3d,lmao,lmao
2023-01-28 23:54:36,denims ,i_am_the_dew_it,OOF,oof
2023-01-28 23:54:38,denims ,reuubs,TOOBASED,toobas
2023-01-29 00:00:13,denims ,yossaarian,TOOBASED,toobas
2023-01-29 00:00:15,denims ,iandjcooper,TOOBASED,toobas
2023-01-29 00:00:21,denims ,obrigaah,TOOBASED,toobas
2023-01-29 00:00:45,denims ,thehappyparadox,TOOBASED,toobas
2023-01-29 00:00:56,denims ,jamesdm,TOOBASED,toobas
2023-01-29 00:00:56,denims ,lilbrownied,TOOBASED,toobas
2023-01-29 00:00:59,denims ,mattygyptian,TOOBASED,toobas
2023-01-29 00:01:03,denims ,humansupriyo,TOOBASED,toobas
2023-01-29 00:01:07,denims ,blkobsidiannn,TOOBASED,toobas
2023-01-29 00:01:13,denims ,bagelsandloadedlox,TOOBASED,toobas
2023-01-29 00:01:47,denims ,starbuckswitch,TOOBASED,toobas
2023-01-29 00:03:44,denims ,hasan_lurker,TOOBASED,toobas
2023-01-29 00:06:32,denims ,gothamrhinox,TOOBASED,toobas
2023-01-29 00:10:15,denims ,theseductivebruja,TOOBASED,toobas
2023-01-29 00:18:32,denims ,iandjcooper,TOOBASED,toobas
2023-01-29 00:19:53,denims ,bagelsandloadedlox,TOOBASED,toobas
2023-01-29 00:19:55,denims ,fiiiilth,TOOBASED,toobas
2023-01-29 00:20:08,denims ,theseductivebruja,TOOBASED,toobas
2023-01-29 00:20:11,denims ,cymruphoenix,TOOBASED,toobas
2023-01-29 00:20:11,denims ,sutkila,TOOBASED,toobas
2023-01-29 00:20:20,denims ,kxo72,TOOBASED,toobas
2023-01-29 00:20:22,denims ,obrigaah,TOOBASED,toobas
2023-01-28 23:54:41,denims ,suburbanerrorist_,unPOGGERS,unpogg
2023-01-28 23:54:42,denims ,47crucial,holyshit,holyshit
2023-01-28 23:54:43,denims ,potrues,OMG,omg
2023-01-28 23:54:43,denims ,gorbograndman,he ulted,ult
2023-01-28 23:54:44,denims ,saxypandabear,hasChud,haschud
2023-01-28 23:54:50,denims ,47crucial,is he banned?,banned?
2023-01-28 23:54:53,denims ,piouslambda,IN MINECRAFT!,minecraft!
2023-01-28 23:54:56,denims ,starbuckswitch,mjinxUnPOGGERS,mjinxunpogg
2023-01-28 23:55:02,denims ,zacktsnack,hahaha,hahaha
2023-01-28 23:55:05,denims ,mattygyptian,mjinxW,mjinxw
2023-01-28 23:55:46,denims ,guadaloopz,FeelsDankMan,feelsdankman
