Date,Channel,Username,Message,Tag_owner,Cleanest_message
2023-01-28 23:18:22,esfandtv ,hellyeahbaby,hell yeah baby,0,hell yeah
2023-01-28 23:18:23,esfandtv ,grannynonny,"Then there was a game with a hallway and a big old room, likea huanted house or castle, basement of horrors, that was good too",0,good
2023-01-28 23:18:28,esfandtv ,teleprompte,Thanks for streaming esfand,0,thank
2023-01-28 23:18:38,esfandtv ,leysfort,ok bye Esfand,0,ok
2023-01-28 23:18:50,esfandtv ,grannynonny,Esfand plays a lot of horror,0,play horror
2023-01-28 23:18:59,esfandtv ,thegummibearmassacre,D:,0,D:
2023-01-28 23:19:00,esfandtv ,kfoo_,You're fine,0,fine
2023-01-28 23:19:02,esfandtv ,genisyys_,you made him upset D:,0,upset D:
2023-01-28 23:19:04,esfandtv ,fozenoh,monkaW,0,monkaW
2023-01-28 23:19:09,esfandtv ,daunted_mist,OMEGALUL,0,OMEGALUL
2023-01-28 23:19:12,esfandtv ,rakleson,get out of here see if i care peepoSad,0,care peepoSad
2023-01-28 23:19:17,esfandtv ,waffleboiiii,LULW,0,LULW
2023-01-28 23:19:25,esfandtv ,supibot,"heechulized, Your daily cookie: This is a fantastic day for you. You'll have a great deal of physical power.",0,great
2023-01-28 23:19:41,esfandtv ,supibot,"angeltwothree, Your daily cookie: Everything has beauty but not everyone sees it.",0,ha
2023-01-28 23:19:49,esfandtv ,supibot,"spitfiremkxiv, Your daily cookie: It's a day of challenges. You're a pro at questioning yourself, as you'll prove today when you take a hard look at your accomplishments.",0,hard
2023-01-28 23:19:56,esfandtv ,duskatdawn117,Esfand :),0,:)
2023-01-28 23:19:57,esfandtv ,kngrsm,nvidia broadcast has some cool features definitely worth checking out but probably best to watch some youtube howtos before,0,ha cool worth best
2023-01-28 23:20:08,esfandtv ,koominator,LUL LUL,0,LUL
2023-01-28 23:20:27,esfandtv ,angeltwothree,LUL,0,LUL
2023-01-28 23:20:35,esfandtv ,vanguard771,If Nvidia broadcast blocks out background noise does that mean we won't hear bonnie anymore?,0,block
2023-01-28 23:20:36,esfandtv ,3b0ne,Stare stop,0,stop
2023-01-28 23:20:54,esfandtv ,grannynonny,Now that's gonna nag at me.. that game he could play again and I wouldn't mind...,0,nag play
2023-01-28 23:21:12,esfandtv ,rakleson,nice nuts,0,nice
2023-01-28 23:21:17,esfandtv ,genisyys_,what are you playing after Deadspace? Pause,0,play
2023-01-28 23:21:41,esfandtv ,jatnutt,"nvm, i want the background",0,want
2023-01-28 23:21:41,esfandtv ,vanguard771,New game POG,0,pog
2023-01-28 23:22:09,esfandtv ,thegummibearmassacre,DEAD SPACE Pog,0,dead pog
2023-01-28 23:22:11,esfandtv ,retpaladinbot,ACTION 5x Pog combo,0,pog
2023-01-28 23:22:11,esfandtv ,nurse_coop,@esfandtv did you purchase the new razer hand held?,1,hand
2023-01-28 23:22:12,esfandtv ,jatnutt,hi youtube type pog,0,pog
2023-01-28 23:22:12,esfandtv ,shonuff_,Pog youtube,0,pog
2023-01-28 23:22:12,esfandtv ,fozenoh,Hi youtube type pog,0,pog
2023-01-28 23:22:13,esfandtv ,soaringturkeyvulture,I just booted up WoW and thought those noises were my game... where the hell did I log off LUL,0,wow hell LUL
2023-01-28 23:22:14,esfandtv ,angelito0023,Pog :middle_finger: sup yt,0,pog :middle_finger:
2023-01-28 23:22:16,esfandtv ,3b0ne,HI YT Pog,0,pog
2023-01-28 23:22:17,esfandtv ,nicholasw458,frick youtube Pog,0,pog
2023-01-28 23:22:18,esfandtv ,willdragons,Pog hi youtube,0,pog
2023-01-28 23:22:22,esfandtv ,tebb_e,hi Pog type YouTube,0,pog
2023-01-28 23:22:33,esfandtv ,jaredclt,DICKS YouTube,0,dick
2023-01-28 23:22:40,esfandtv ,juiceboxjam912,"i didn't get notifications from twitch that you went live, thank god for discord tho",0,thank god discord
2023-01-28 23:22:40,esfandtv ,gillyp01,Kreygasm,0,Kreygasm
2023-01-28 23:22:43,esfandtv ,azoth83,u also spent an hour missing the enter key,0,miss
2023-01-28 23:22:43,esfandtv ,god_is_a_cat_girl,"if you setup to turn on/off easily maybe it can be used only at certain times like when it's super windy. I mean, Elgato does have stream deck on phone (and it kinda sucks?)",0,certain like super
2023-01-28 23:23:01,esfandtv ,battlealpaca,Is start if stream gone forever I wanted to vod frog recap for my post FRICK @esfandtv,1,want
2023-01-28 23:23:01,esfandtv ,tebb_e,LUL,0,LUL
2023-01-28 23:23:05,esfandtv ,azoth83,LULW,0,LULW
2023-01-28 23:23:06,esfandtv ,unioneagle7,I remember being scared playing this hack when it eas released on ps3,0,scare play
2023-01-28 23:23:07,esfandtv ,muckspreads,E for enter LuL,0,lug
2023-01-28 23:23:10,esfandtv ,zellitan,Kappa error,0,Kappa error
2023-01-28 23:23:20,esfandtv ,koominator,nope :),0,:)
2023-01-28 23:23:22,esfandtv ,zellitan,E for error Kapp,0,error
2023-01-28 23:23:23,esfandtv ,govncheese,They don’t play their games like they say they do,0,play like
2023-01-28 23:23:25,esfandtv ,god_is_a_cat_girl,played on THIS,0,play
2023-01-28 23:23:27,esfandtv ,sir_rekt,I guess nobody played with mouse and keyboard that far into the game,0,play
2023-01-28 23:23:28,esfandtv ,angeltwothree,"Because they barely QA test anymore, they just wait for players to report bugs LUL @EsfandTV",0,LUL
2023-01-28 23:23:28,esfandtv ,sethyrin,imagine gaming on mouse and keyboard Kappa,0,Kappa
2023-01-28 23:23:30,esfandtv ,bryan_505,they probably played on pc with controller,0,play
2023-01-28 23:23:30,esfandtv ,vanguard771,keyboard DansGame,0,dangan
2023-01-28 23:23:39,esfandtv ,viralostrich,devs dont have time to play games,0,play
