Data,Channel,Username,OriginalMessage,Message
2023-01-28 23:18:19,esfandtv ,detectledefect.tmi.twitch.tv 353 detectledefect = #esfandtv ,detectledefect,detectledefect
2023-01-28 23:18:27,esfandtv ,koominator,peepoPooPoo,peepopoopoo
2023-01-28 23:18:49,esfandtv ,lunchbreakk,peepoJuiceSpin,peepojuicespin
2023-01-28 23:19:00,esfandtv ,atomicpresence,LATEFAND,latefand
2023-01-28 23:19:09,esfandtv ,koominator,esfandLeave,esfandleav
2023-01-28 23:19:14,esfandtv ,viralostrich,its early,earli
2023-01-28 23:19:17,esfandtv ,fozenoh,FeelsDonkMan,feelsdonkman
2023-01-28 23:19:17,esfandtv ,tribalvenomx86,Howdy!,howdy!
2023-01-28 23:19:24,esfandtv ,heechulized,$cookie,$cooki
2023-01-28 23:19:40,esfandtv ,angeltwothree,$cookie,$cooki
2023-01-28 23:19:49,esfandtv ,spitfiremkxiv,$cookie,$cooki
2023-01-28 23:31:45,esfandtv ,yippykaiyay322,$cookie,$cooki
2023-01-28 23:32:17,esfandtv ,bogusbutt,$cookie,$cooki
2023-01-28 23:32:26,esfandtv ,sweetiepie2487,$cookie,$cooki
2023-01-28 23:19:26,esfandtv ,vanguard771,"""finishing""","""finishing"""
2023-01-28 23:19:28,esfandtv ,sunnymands,esfandVIBE,esfandvib
2023-01-28 23:19:34,esfandtv ,angeltwothree,!cookie,!cooki
2023-01-28 23:19:44,esfandtv ,fozenoh,!cookie,!cooki
2023-01-28 23:19:40,esfandtv ,sunnymands,Pog,pog
2023-01-28 23:22:05,esfandtv ,danielsauces,Pog,pog
2023-01-28 23:22:08,esfandtv ,perfectsh0t2,pog,pog
2023-01-28 23:22:08,esfandtv ,daunted_mist,Pog,pog
2023-01-28 23:22:08,esfandtv ,viralostrich,Pog,pog
2023-01-28 23:22:08,esfandtv ,angeltwothree,Pog,pog
2023-01-28 23:22:09,esfandtv ,imataka12,pog,pog
2023-01-28 23:22:09,esfandtv ,azoth83,Pog,pog
2023-01-28 23:22:09,esfandtv ,mellowcheese,Pog,pog
2023-01-28 23:22:10,esfandtv ,pstar1,Pog,pog
2023-01-28 23:22:10,esfandtv ,shaka501,Pog,pog
2023-01-28 23:22:10,esfandtv ,haruiswaifu,Pog,pog
2023-01-28 23:22:11,esfandtv ,govncheese,Pog,pog
2023-01-28 23:22:11,esfandtv ,macvane,pog,pog
2023-01-28 23:22:11,esfandtv ,xzerozz,Pog,pog
2023-01-28 23:22:12,esfandtv ,sir_rekt,Pog,pog
2023-01-28 23:22:12,esfandtv ,corso117,Pog,pog
2023-01-28 23:44:34,esfandtv ,cuttyriver420,Pog,pog
2023-01-28 23:19:42,esfandtv ,gillyp01,PogChamp,pogchamp
2023-01-28 23:19:51,esfandtv ,daunted_mist,i notice it,notic
2023-01-28 23:19:52,esfandtv ,atomicpresence,but others can OkayChamp,okaychamp
2023-01-28 23:20:06,esfandtv ,tebb_e,Hmm,hmm
2023-01-28 23:25:05,esfandtv ,koominator,Hmm,hmm
2023-01-28 23:25:32,esfandtv ,redshock_0,Hmm,hmm
2023-01-28 23:30:21,esfandtv ,asteriamateria,Hmm,hmm
2023-01-28 23:36:47,esfandtv ,pstar1,Hmm,hmm
2023-01-28 23:20:28,esfandtv ,fozenoh,birdStare,birdstar
2023-01-28 23:21:03,esfandtv ,iamgabe69,esfandBust,esfandbust
2023-01-28 23:21:10,esfandtv ,thegummibearmassacre,esfandBust,esfandbust
2023-01-28 23:43:37,esfandtv ,zellitan,esfandBust,esfandbust
2023-01-28 23:21:03,esfandtv ,sunnymands,esfandH,esfandh
2023-01-28 23:21:12,esfandtv ,waffleboiiii,DansGame,dansgam
2023-01-28 23:21:13,esfandtv ,southpaw1724,lol,lol
2023-01-28 23:29:30,esfandtv ,gizimoo86,lol,lol
2023-01-28 23:47:28,esfandtv ,cuttyriver420,lol,lol
2023-01-28 23:48:14,esfandtv ,cuttyriver420,lol,lol
2023-01-28 23:21:18,esfandtv ,oreder,PJSugar,pjsugar
2023-01-28 23:21:19,esfandtv ,hangloose2,PotFriend,potfriend
2023-01-28 23:21:22,esfandtv ,gillyp01,NotLikeThis,notlikethi
2023-01-28 23:33:03,esfandtv ,gillyp01,NotLikeThis NotLikeThis NotLikeThis,notlikethi
2023-01-28 23:21:23,esfandtv ,unioneagle7,esfandW,esfandw
2023-01-28 23:21:26,esfandtv ,waffleboiiii,esfandRetPill,esfandretpil
2023-01-28 23:21:32,esfandtv ,threinen,Wokege,wokeg
2023-01-28 23:24:25,esfandtv ,asteriamateria,Wokege,wokeg
2023-01-28 23:22:04,esfandtv ,waffleboiiii,pogg,pogg
2023-01-28 23:22:07,esfandtv ,phoenixvakarian,pogg,pogg
2023-01-28 23:22:08,esfandtv ,genisyys_,pogg,pogg
2023-01-28 23:22:10,esfandtv ,widepenguinn,pogg,pogg
2023-01-28 23:22:11,esfandtv ,ekun,pogg,pogg
2023-01-28 23:22:12,esfandtv ,koominator,pogg,pogg
2023-01-28 23:22:25,esfandtv ,spitfiremkxiv,pogg,pogg
2023-01-28 23:22:43,esfandtv ,macvane,pogg,pogg
2023-01-28 23:22:06,esfandtv ,bryan_505,PAWG,pawg
2023-01-28 23:22:07,esfandtv ,danielsauces,LETHIMCOOK,lethimcook
2023-01-28 23:22:15,esfandtv ,danielsauces,letsgo,letsgo
2023-01-28 23:22:40,esfandtv ,zura_janai_katsura__da,Clueless,clueless
2023-01-28 23:47:13,esfandtv ,brogsy_,Clueless,clueless
2023-01-28 23:22:42,esfandtv ,redshock_0,peepoHey,peepohey
2023-01-28 23:22:45,esfandtv ,waffleboiiii,Flashback,flashback
2023-01-28 23:48:04,esfandtv ,bryan_505,Flashback,flashback
2023-01-28 23:48:15,esfandtv ,osteboogie,too many of them! Flashback,flashback
2023-01-28 23:22:52,esfandtv ,genisyys_,LMAOOOOOOOOOO,lmaoooooooooo
2023-01-28 23:39:25,esfandtv ,bryan_505,LMAOOOOOOOOOO,lmaoooooooooo
2023-01-28 23:23:03,esfandtv ,daunted_mist,OMEGALAUGHING,omegalaugh
2023-01-28 23:29:27,esfandtv ,asteriamateria,OMEGALAUGHING,omegalaugh
2023-01-28 23:29:31,esfandtv ,mahangm,OMEGALAUGHING,omegalaugh
2023-01-28 23:30:38,esfandtv ,asteriamateria,OMEGALAUGHING,omegalaugh
2023-01-28 23:39:28,esfandtv ,savagetarzan,OMEGALAUGHING,omegalaugh
2023-01-28 23:26:05,esfandtv ,rida220,theres 2,2
2023-01-28 23:26:06,esfandtv ,komandantmirko,WEEBSDETECTED,weebsdetect
2023-01-28 23:26:18,esfandtv ,waffleboiiii,NOOO,nooo
2023-01-28 23:26:21,esfandtv ,daunted_mist,NOOO,nooo
2023-01-28 23:26:33,esfandtv ,3b0ne,NOOO,nooo
2023-01-28 23:39:37,esfandtv ,uneik,NOOO,nooo
2023-01-28 23:26:25,esfandtv ,nsufferable,catsenD,catsend
2023-01-28 23:42:02,esfandtv ,nsufferable,catsenD,catsend
2023-01-28 23:26:49,esfandtv ,waffleboiiii,PepeS,pepe
2023-01-28 23:27:06,esfandtv ,koominator,gachiESFAND,gachiesfand
2023-01-28 23:27:11,esfandtv ,komandantmirko,Jebaited,jebait
2023-01-28 23:32:48,esfandtv ,gillyp01,Jebaited,jebait
2023-01-28 23:27:24,esfandtv ,spitfiremkxiv,stompy stompy,stompi
2023-01-28 23:28:36,esfandtv ,felipells,peepoWave,peepowav
2023-01-28 23:29:04,esfandtv ,bobbylo23,!playlist,!playlist
2023-01-28 23:29:28,esfandtv ,holsch3r,ahaha,ahaha
2023-01-28 23:29:30,esfandtv ,waffleboiiii,pepePoint,pepepoint
2023-01-28 23:29:31,esfandtv ,redshock_0,pepeMeltdown  pepeMeltdown  pepeMeltdown,pepemeltdown
2023-01-28 23:29:39,esfandtv ,fuzzybeard90,pepeMeltdown,pepemeltdown
2023-01-28 23:29:32,esfandtv ,thegummibearmassacre,LOLLLLLLLLLL,lollllllllll
2023-01-28 23:29:33,esfandtv ,b_t_23,esfandLUL esfandLUL esfandLUL esfandLUL esfandLUL esfandLUL,esfandlul
2023-01-28 23:29:34,esfandtv ,nsufferable,aruuuGun,aruuugun
2023-01-28 23:48:11,esfandtv ,nsufferable,aruuuGun,aruuugun
2023-01-28 23:29:34,esfandtv ,buukillah,Pause,paus
2023-01-28 23:29:44,esfandtv ,asteriamateria,kekw,kekw
2023-01-28 23:29:46,esfandtv ,waffleboiiii,kekw,kekw
2023-01-28 23:29:47,esfandtv ,gizimoo86,kekw,kekw
2023-01-28 23:30:44,esfandtv ,arcsilin,KEKW,kekw
2023-01-28 23:39:28,esfandtv ,bundooa,kekw,kekw
2023-01-28 23:40:37,esfandtv ,sargeangel,KEKW,kekw
2023-01-28 23:42:45,esfandtv ,peter_hexen,kekw,kekw
2023-01-28 23:47:30,esfandtv ,peter_hexen,kekw,kekw
2023-01-28 23:29:46,esfandtv ,starrsiege,PoroSad,porosad
2023-01-28 23:29:51,esfandtv ,fuzzybeard90,poroSad,porosad
2023-01-28 23:29:50,esfandtv ,xhashbanditx,ROFL,rofl
2023-01-28 23:30:11,esfandtv ,5615pass,!schedule,!schedul
