Data,Channel,Username,OriginalMessage,Message
2023-01-29 00:46:08,hasanabi ,christheebrit,40kg each,40kg
2023-01-29 00:46:08,hasanabi ,dangledungle,lmao,lmao
2023-01-29 00:46:08,hasanabi ,esl0th,lmao,lmao
2023-01-29 00:49:44,hasanabi ,ayuayasan,LMAO,lmao
2023-01-29 00:50:54,hasanabi ,chiefbear2,LMAo,lmao
2023-01-29 00:52:13,hasanabi ,divinityserenity56,LMAO,lmao
2023-01-29 00:54:56,hasanabi ,skinnyminniex3,lmao,lmao
2023-01-29 00:55:01,hasanabi ,j_hern,lmao,lmao
2023-01-29 00:55:03,hasanabi ,ieatwaffles,LMAO,lmao
2023-01-29 00:55:05,hasanabi ,crustyna9,LMAO,lmao
2023-01-29 00:55:28,hasanabi ,wisdomism,Lmao,lmao
2023-01-29 00:55:34,hasanabi ,dangledungle,lmao,lmao
2023-01-29 00:56:14,hasanabi ,liberaccilo,lmao,lmao
2023-01-29 00:46:08,hasanabi ,dooie_,45x4,45x4
2023-01-29 00:46:08,hasanabi ,actualgoobr,COPIUM,copium
2023-01-29 00:46:41,hasanabi ,bettercallsaul,COPIUM,copium
2023-01-29 00:48:20,hasanabi ,absolutwaffles,COPIUM,copium
2023-01-29 00:48:21,hasanabi ,corg0,COPIUM,copium
2023-01-29 00:48:26,hasanabi ,xylar08,COPIUM,copium
2023-01-29 00:48:26,hasanabi ,idksaiah,COPIUM,copium
2023-01-29 00:48:27,hasanabi ,dwein25,COPIUM,copium
2023-01-29 00:48:28,hasanabi ,mrnitrate,COPIUM,copium
2023-01-29 00:48:28,hasanabi ,vibesafterdark,COPIUM,copium
2023-01-29 00:48:32,hasanabi ,alieeezy,COPIUM,copium
2023-01-29 00:48:32,hasanabi ,jack_of_house_wylde,COPIUM,copium
2023-01-29 00:48:32,hasanabi ,liche_,COPIUM,copium
2023-01-29 00:48:34,hasanabi ,grrroove,COPIUM,copium
2023-01-29 00:48:36,hasanabi ,shomei,COPIUM,copium
2023-01-29 00:48:36,hasanabi ,hasan_lurker,COPIUM,copium
2023-01-29 00:48:37,hasanabi ,cyniciewinikie,COPIUM,copium
2023-01-29 00:48:37,hasanabi ,qwertyopsd2,COPIUM,copium
2023-01-29 00:49:07,hasanabi ,gobspeeb_,COPIUM,copium
2023-01-29 00:49:23,hasanabi ,elcanpesino_,COPIUM COPIUM,copium
2023-01-29 00:54:33,hasanabi ,myboymimsy,COPIUM,copium
2023-01-29 00:54:34,hasanabi ,hoseph108,COPIUM,copium
