Date,Channel,Username,Message,Tag_owner,Cleanest_message
2023-01-28 21:30:56,nmplol ,wolframatic,PogU THEY DOING SOMETHING,0,PogU
2023-01-28 21:30:56,nmplol ,kendrandi,u a bitch and she just reacts,0,bitch
2023-01-28 21:30:58,nmplol ,bonerboost,i love adding oil and cranking it,0,love
2023-01-28 21:30:58,nmplol ,spritzyn,Sadge,0,Sadge
2023-01-28 21:30:58,nmplol ,destroyvader,WOW,0,wow
2023-01-28 21:30:58,nmplol ,dreamer_235,IS THAT A THREAT D,0,threat
2023-01-28 21:30:59,nmplol ,mxgeneration,SQUADING hell ye,0,hell
2023-01-28 21:30:59,nmplol ,drealwk,LUL,0,LUL
2023-01-28 21:30:59,nmplol ,husalah_99,Buddy smells good,0,good
2023-01-28 21:30:59,nmplol ,jenn_ava,OMEGALUL,0,OMEGALUL
2023-01-28 21:31:00,nmplol ,uhhitsjacob,D: wtf,0,D: wif
2023-01-28 21:31:00,nmplol ,arcayda,tensions are high pepeMeltdown,0,tension
2023-01-28 21:31:01,nmplol ,the_real_putinroaster,Sadge buddy,0,Sadge
2023-01-28 21:31:02,nmplol ,akiva51,all he can do is shit on ppl,0,shit
2023-01-28 21:31:02,nmplol ,kieranp_246,It’s crazy to find 3 people where erobb is the most competent LUL,0,LUL
2023-01-28 21:31:02,nmplol ,resubscribe,FeelsBadMan Buddy,0,feelsbadman
2023-01-28 21:31:03,nmplol ,charmiee,D:,0,D:
2023-01-28 21:31:04,nmplol ,yoourself,monkaS,0,monkaS
2023-01-28 21:31:04,nmplol ,5triker_,Nick do something man stop just standing there,0,stop
2023-01-28 21:31:08,nmplol ,rhoetuz,Sadge mean,0,Sadge
2023-01-28 21:31:08,nmplol ,l0ddz,SEZ U LULW,0,LULW
2023-01-28 21:31:08,nmplol ,lor186,that is true,0,true
2023-01-28 21:31:09,nmplol ,7heres4way,D:,0,D:
2023-01-28 21:31:09,nmplol ,laststarship,yeah,0,yeah
2023-01-28 21:31:09,nmplol ,looya,stop threatening the dogs !!,0,stop threaten
2023-01-28 21:31:10,nmplol ,supergegor,so rude,0,rude
2023-01-28 21:31:10,nmplol ,wolframatic,Jackass *kicks dog*,0,jackass
2023-01-28 21:31:10,nmplol ,bluebacon11,Jackass,0,jackass
2023-01-28 21:31:11,nmplol ,jir00,YEP,0,yep
2023-01-28 21:31:12,nmplol ,jebayter,buddy keep yourself safe,0,safe
2023-01-28 21:31:13,nmplol ,socalorca,YEP he dont care,0,yep care
2023-01-28 21:31:14,nmplol ,baasima,Buddy is smarter than you,0,smarter
2023-01-28 21:31:14,nmplol ,rivendelll420,EZ HE THRIVES IN DANGER,0,EZ danger
2023-01-28 21:31:16,nmplol ,7heres4way,we love doggos,0,love
2023-01-28 21:31:16,nmplol ,mybhomie,Sadge,0,Sadge
2023-01-28 21:31:16,nmplol ,viewerzz,D:,0,D:
2023-01-28 21:31:17,nmplol ,zephyriq,hes smarter than u Madge,0,smarter
2023-01-28 21:31:18,nmplol ,businesschipmunks,Buddy is the danger BatChest,0,danger
2023-01-28 21:31:19,nmplol ,lucastanaka,"you put ""VERY SPECIAL GUEST"" and its Rime",0,special
2023-01-28 21:31:19,nmplol ,hyperthreded,SMART MAN LUL,0,smart LUL
2023-01-28 21:31:21,nmplol ,fictionless33,bro looks high as fuck,0,fuck
2023-01-28 21:31:22,nmplol ,horus_xx7,Jeez you smell Russel booba sweat,0,boobs
2023-01-28 21:31:23,nmplol ,dr_11,dogs dont speak english either Pepega,0,Pepega
2023-01-28 21:31:26,nmplol ,nidoe,OMEGALUL,0,OMEGALUL
