Data,Channel,Username,OriginalMessage,Message
2023-01-28 21:30:56,nmplol ,dreadheadmorton,OLE,ole
2023-01-28 21:30:56,nmplol ,thegameplayhub,ole,ole
2023-01-28 21:30:56,nmplol ,davidc_m,OLE,ole
2023-01-28 21:30:58,nmplol ,zeno921,ole,ole
2023-01-28 21:30:58,nmplol ,deepfrieddeals,ole,ole
2023-01-28 21:30:58,nmplol ,greipmoon,ole,ole
2023-01-28 21:30:59,nmplol ,fukfukfukfukfukfukfuf,ole,ole
2023-01-28 21:30:59,nmplol ,peacezobel,ole,ole
2023-01-28 21:30:59,nmplol ,wolvespls,ole,ole
2023-01-28 21:31:02,nmplol ,ivyspoison,Ole,ole
2023-01-28 21:31:02,nmplol ,deepfrieddeals,OLE,ole
2023-01-28 21:31:03,nmplol ,sylantra,ole,ole
2023-01-28 21:31:39,nmplol ,zeno921,ole,ole
2023-01-28 21:31:45,nmplol ,phoenixvillain2,ole,ole
2023-01-28 21:31:45,nmplol ,itsmeeak,ole,ole
2023-01-28 21:30:56,nmplol ,yedar44,Ol,ol
2023-01-28 21:31:42,nmplol ,itsmeeak,ol,ol
2023-01-28 21:30:56,nmplol ,elandie1,Ol',ol'
2023-01-28 21:30:56,nmplol ,b0bin,wtf,wtf
2023-01-28 21:30:58,nmplol ,kelseyrose1212,wtf,wtf
2023-01-28 21:30:58,nmplol ,murrdablurr,D WTF,wtf
2023-01-28 21:30:58,nmplol ,tellotubbyz,Wtf,wtf
2023-01-28 21:34:17,nmplol ,randomviewer7071,WTF,wtf
2023-01-28 21:34:23,nmplol ,gizimoo86,wtf,wtf
2023-01-28 21:34:26,nmplol ,linkmask,WTF,wtf
2023-01-28 21:40:11,nmplol ,thecaramellifter,wtf,wtf
2023-01-28 21:40:13,nmplol ,tirsten123,wtf,wtf
2023-01-28 21:44:38,nmplol ,rysgaard,wtf,wtf
2023-01-28 21:45:11,nmplol ,lucsvm,WTF,wtf
2023-01-28 21:45:20,nmplol ,nepanapa,WTF,wtf
2023-01-28 21:45:24,nmplol ,langosdog,WTF,wtf
2023-01-28 21:45:24,nmplol ,valkyriebug,wtf,wtf
2023-01-28 21:45:28,nmplol ,9yneee,WTF IS THAT,wtf
2023-01-28 21:45:31,nmplol ,bean_is_high,wtf,wtf
2023-01-28 21:45:36,nmplol ,lamepuf,WTF,wtf
2023-01-28 21:45:37,nmplol ,lamepuf,wtf wtf wtf,wtf
2023-01-28 21:45:38,nmplol ,kikireally,WTF,wtf
2023-01-28 21:45:43,nmplol ,ciogu,WTF,wtf
2023-01-28 21:46:01,nmplol ,snail___trail,wtf,wtf
2023-01-28 21:46:08,nmplol ,minxthepurpledinosaur,wtf,wtf
2023-01-28 21:46:16,nmplol ,temperatur1,wtf,wtf
2023-01-28 21:48:17,nmplol ,fioco,wtf,wtf
2023-01-28 21:50:25,nmplol ,mlkopijnb,wtf is that,wtf
2023-01-28 21:53:17,nmplol ,burtramp,WTF,wtf
2023-01-28 21:53:25,nmplol ,arcayda,wtf,wtf
2023-01-28 21:53:29,nmplol ,devorerr_,wtf,wtf
2023-01-28 21:53:29,nmplol ,vaylufa,wtf,wtf
2023-01-28 21:53:43,nmplol ,joserollswoods,WTF,wtf
2023-01-28 21:53:46,nmplol ,k177,WTF IS THAT,wtf
2023-01-28 21:30:56,nmplol ,bader0419,D  󠀀,󠀀
2023-01-28 21:33:48,nmplol ,danman_710,D 󠀀,󠀀
2023-01-28 21:36:07,nmplol ,kendrandi,do it 󠀀,󠀀
2023-01-28 21:42:39,nmplol ,kendrandi,you 󠀀,󠀀
2023-01-28 21:30:58,nmplol ,threinen,D omg,omg
2023-01-28 21:32:35,nmplol ,candycups,omg,omg
2023-01-28 21:33:14,nmplol ,jenn_ava,Omg,omg
2023-01-28 21:40:23,nmplol ,candycups,omg,omg
2023-01-28 21:40:55,nmplol ,jenn_ava,Omg,omg
2023-01-28 21:43:40,nmplol ,viewbotprime,omg,omg
2023-01-28 21:45:03,nmplol ,nidoe,OMG,omg
2023-01-28 21:45:09,nmplol ,shaun252,omg,omg
2023-01-28 21:45:13,nmplol ,goldnesslol,OMG,omg
2023-01-28 21:45:19,nmplol ,orlandxz,OMG,omg
2023-01-28 21:45:20,nmplol ,gibonich,OMG,omg
2023-01-28 21:45:20,nmplol ,itsme_marius,omg,omg
2023-01-28 21:45:32,nmplol ,kentaro777,omg,omg
2023-01-28 21:45:39,nmplol ,offshore_bread,Omg,omg
2023-01-28 21:46:00,nmplol ,davidistoc,OMG,omg
2023-01-28 21:46:02,nmplol ,blak_label,OMG,omg
2023-01-28 21:46:04,nmplol ,morris_the_borris,OMG,omg
2023-01-28 21:46:08,nmplol ,bean_is_high,omg,omg
2023-01-28 21:46:09,nmplol ,candycups,omg,omg
2023-01-28 21:46:54,nmplol ,candycups,omg,omg
2023-01-28 21:47:26,nmplol ,candycups,omg,omg
2023-01-28 21:48:00,nmplol ,gibonich,omg,omg
2023-01-28 21:53:11,nmplol ,candycups,omg,omg
2023-01-28 21:30:58,nmplol ,akiva51,stfu,stfu
2023-01-28 21:49:39,nmplol ,neptunettt,stfu,stfu
2023-01-28 21:49:40,nmplol ,stoploadingslow,stfu,stfu
2023-01-28 21:30:58,nmplol ,marlsweetie,no deserved,deserv
2023-01-28 21:33:37,nmplol ,albrownn,deserved,deserv
2023-01-28 21:35:11,nmplol ,kendrandi,deserved,deserv
2023-01-28 21:35:17,nmplol ,ipman_4,deserved,deserv
2023-01-28 21:30:58,nmplol ,k177,LMAO,lmao
2023-01-28 21:33:36,nmplol ,zurgtarpon,lmao,lmao
2023-01-28 21:33:48,nmplol ,harleyj,Lmao,lmao
