Date,Channel,Username,Message,Tag_owner,Cleanest_message
2023-01-28 22:44:02,sodapoppin ,foreigngamer,havent had a save point in a while,0,save
2023-01-28 22:44:05,sodapoppin ,patosw,@Cosbert dunno why Kappa,0,Kappa
2023-01-28 22:44:19,sodapoppin ,deusexmachinist,PepeLaugh GOD THIS PART SUCKED IN THE ORIGINAL widepepOMEGAKEKHappyChampHands,0,god suck
2023-01-28 22:44:20,sodapoppin ,ailoops,actually that would be ok in Texas since is already out :),0,ok :)
2023-01-28 22:44:23,sodapoppin ,ghostsavant,WOOW thats great,0,great
2023-01-28 22:44:29,sodapoppin ,fossabot,Thank you for subscribing with prime gaming for 4 months FerdaBerta meow MYAAA,0,thank
2023-01-28 22:44:47,sodapoppin ,nacchikins,yeah,0,yeah
2023-01-28 22:44:47,sodapoppin ,curiitas_,i hated this part PepeLaugh,0,hate
2023-01-28 22:44:56,sodapoppin ,gaavv,OH SHIT UR PLAYING DEADSPACE ! This game is fucking awesome!,0,shit play fuck
2023-01-28 22:44:56,sodapoppin ,elillama_,this guy is a fucking GIGACHAD,0,fuck
2023-01-28 22:45:05,sodapoppin ,airgoose1,Is this the part that makes you feel ill NotLikeThis,0,ill
2023-01-28 22:45:06,sodapoppin ,leagueenj0yer,i like this guy,0,like
2023-01-28 22:45:24,sodapoppin ,sosoomad,Doom guy engineer,0,doom
2023-01-28 22:45:27,sodapoppin ,blackpaisleyy,WEAKEST MINER GIGACHAD,0,weakest
2023-01-28 22:45:29,sodapoppin ,kaelrok1,an engineer worth his salary,0,worth
2023-01-28 22:45:35,sodapoppin ,gayforcandy,"ya man, sending out a beacon to grab the alien tik tok obelisk, a true hero",0,true hero
2023-01-28 22:45:40,sodapoppin ,dbarixx,true,0,true
2023-01-28 22:45:50,sodapoppin ,elillama_,AAAA dead,0,dead
2023-01-28 22:45:51,sodapoppin ,drewj_el,solid,0,solid
2023-01-28 22:46:09,sodapoppin ,deusexmachinist,unless your max difficulty it doesnt kill iirc @sodapoppin,1,kill
2023-01-28 22:46:15,sodapoppin ,kozosayz,"shouldn't waste plasma ammo on those foes, just take pulse weapon and shoot the bubble",0,weapon shoot
2023-01-28 22:46:19,sodapoppin ,bigbigbod,your armor will tank it Kappa,0,Kappa
2023-01-28 22:46:21,sodapoppin ,fossabot,Thank you for subscribing with prime gaming for 4 months TheSenpapi meow MYAAA,0,thank
2023-01-28 22:46:26,sodapoppin ,whtamidoinhre,on the easiest difficulty nothing can one shot you,0,easiest
2023-01-28 22:46:30,sodapoppin ,anyone90,@sodapoppin missed bench,1,miss
2023-01-28 22:46:38,sodapoppin ,novacht,@whtamidoinhre He's on hard,0,hard
2023-01-28 22:46:53,sodapoppin ,foreigngamer,@whtamidoinhre too bad hes not on it,0,bad
2023-01-28 22:46:58,sodapoppin ,deusexmachinist,@Novacht splodey bois dont one shot on hard,0,hard
2023-01-28 22:47:02,sodapoppin ,petghar,LUL,0,LUL
2023-01-28 22:47:04,sodapoppin ,curiitas_,xdd missed bench,0,miss
2023-01-28 22:47:06,sodapoppin ,supmydoot,Soda actually good at this game,0,good
2023-01-28 22:47:07,sodapoppin ,gayforcandy,not caring sounds like the play,0,care like play
