Data,Channel,Username,OriginalMessage,Message
2023-01-28 22:43:51,sodapoppin ,blackpaisleyy,YESIDOTHINKSO,yesidothinkso
2023-01-28 22:43:51,sodapoppin ,dyeoxy,sodaYes,soday
2023-01-28 22:50:38,sodapoppin ,soudro,sodaYes,soday
2023-01-28 22:44:07,sodapoppin ,airgoose1,NotLikeThis,notlikethi
2023-01-28 22:53:08,sodapoppin ,alinco98,NotLikeThis,notlikethi
2023-01-28 22:53:11,sodapoppin ,cortegos,NotLikeThis,notlikethi
2023-01-28 22:56:40,sodapoppin ,cortegos,NotLikeThis,notlikethi
2023-01-28 23:11:17,sodapoppin ,williamshearer92,NotLikeThis NotLikeThis,notlikethi
2023-01-28 22:44:08,sodapoppin ,0verflux,xdd,xdd
2023-01-28 22:44:08,sodapoppin ,85nocab,xdd,xdd
2023-01-28 22:45:48,sodapoppin ,0verflux,xdd,xdd
2023-01-28 22:45:59,sodapoppin ,macintoshplus21,xdd,xdd
2023-01-28 22:46:02,sodapoppin ,soudro,xdd,xdd
2023-01-28 22:47:01,sodapoppin ,kshpew1,xdd,xdd
2023-01-28 22:47:03,sodapoppin ,macintoshplus21,xdd,xdd
2023-01-28 22:47:05,sodapoppin ,h0ud1n,xdd,xdd
2023-01-28 22:47:07,sodapoppin ,11emsi,xdd,xdd
2023-01-28 22:47:08,sodapoppin ,soudro,xdd,xdd
2023-01-28 22:47:19,sodapoppin ,polarmonke,xdd,xdd
2023-01-28 22:47:24,sodapoppin ,marlquez,xdd,xdd
2023-01-28 22:47:41,sodapoppin ,macintoshplus21,xdd,xdd
2023-01-28 22:48:02,sodapoppin ,lavastar46,xdd,xdd
2023-01-28 22:48:05,sodapoppin ,0verflux,xdd,xdd
2023-01-28 22:48:06,sodapoppin ,soudro,xdd,xdd
2023-01-28 22:49:19,sodapoppin ,0verflux,xdd do it,xdd
2023-01-28 22:50:06,sodapoppin ,lrnao,xdd,xdd
2023-01-28 22:50:08,sodapoppin ,h0ud1n,xdd,xdd
2023-01-28 22:50:10,sodapoppin ,0verflux,xdd,xdd
2023-01-28 22:50:12,sodapoppin ,soudro,xdd,xdd
2023-01-28 22:50:13,sodapoppin ,macintoshplus21,xdd,xdd
2023-01-28 22:50:16,sodapoppin ,synnerlock,xdd,xdd
2023-01-28 22:50:20,sodapoppin ,djbananas69,xdd,xdd
2023-01-28 22:50:26,sodapoppin ,lisanderspooner,xdd,xdd
2023-01-28 22:50:39,sodapoppin ,djbananas69,xdd no,xdd
2023-01-28 22:51:13,sodapoppin ,macintoshplus21,xdd,xdd
2023-01-28 22:51:20,sodapoppin ,h0ud1n,xdd,xdd
2023-01-28 22:51:22,sodapoppin ,natsukun,xdd,xdd
2023-01-28 22:51:22,sodapoppin ,foreigngamer,xdd,xdd
2023-01-28 22:51:23,sodapoppin ,sotoah,xdd,xdd
2023-01-28 22:51:27,sodapoppin ,0verflux,xdd,xdd
2023-01-28 22:51:27,sodapoppin ,teevivi,xdd,xdd
2023-01-28 22:51:32,sodapoppin ,xlc123,xdd,xdd
2023-01-28 22:51:49,sodapoppin ,soudro,xdd,xdd
2023-01-28 22:51:58,sodapoppin ,lrnao,xdd,xdd
2023-01-28 22:51:59,sodapoppin ,meyern3,xdd,xdd
2023-01-28 22:52:01,sodapoppin ,djbananas69,xdd,xdd
2023-01-28 22:52:02,sodapoppin ,papuling2,xdd,xdd
2023-01-28 22:52:07,sodapoppin ,synnerlock,xdd,xdd
2023-01-28 22:53:11,sodapoppin ,natsukun,xdd,xdd
2023-01-28 22:53:16,sodapoppin ,snowkid96,xdd,xdd
2023-01-28 22:53:18,sodapoppin ,macintoshplus21,xdd,xdd
2023-01-28 22:54:10,sodapoppin ,irndys,xdd,xdd
2023-01-28 22:54:28,sodapoppin ,meyern3,xdd,xdd
2023-01-28 22:54:29,sodapoppin ,snoredge,xdd,xdd
2023-01-28 22:54:34,sodapoppin ,synnerlock,xdd,xdd
2023-01-28 22:54:34,sodapoppin ,0verflux,xdd,xdd
2023-01-28 22:54:36,sodapoppin ,soudro,xdd,xdd
2023-01-28 22:55:58,sodapoppin ,0verflux,xdd,xdd
2023-01-28 22:56:14,sodapoppin ,lrnao,xdd,xdd
2023-01-28 22:56:48,sodapoppin ,velinedrel,xdd,xdd
2023-01-28 22:57:17,sodapoppin ,qrass,xdd,xdd
2023-01-28 22:57:18,sodapoppin ,lisanderspooner,xdd,xdd
2023-01-28 22:57:22,sodapoppin ,irndys,xdd,xdd
2023-01-28 22:58:09,sodapoppin ,macintoshplus21,xdd,xdd
2023-01-28 22:59:19,sodapoppin ,ihititraw,xdd,xdd
2023-01-28 23:01:06,sodapoppin ,0verflux,xdd,xdd
2023-01-28 23:01:09,sodapoppin ,shamelesshero,xdd,xdd
2023-01-28 23:01:09,sodapoppin ,goldbattle,xdd,xdd
2023-01-28 23:01:10,sodapoppin ,livingbronze,xdd,xdd
2023-01-28 23:01:11,sodapoppin ,aronblaze,xdd,xdd
2023-01-28 23:03:18,sodapoppin ,0verflux,xdd,xdd
2023-01-28 23:03:20,sodapoppin ,iwall_e,xdd,xdd
2023-01-28 23:08:59,sodapoppin ,realtristler,xdd,xdd
2023-01-28 22:44:23,sodapoppin ,foreigngamer,PEPW,pepw
2023-01-28 22:52:00,sodapoppin ,foreigngamer,PEPW,pepw
2023-01-28 22:56:55,sodapoppin ,foreigngamer,PEPW,pepw
2023-01-28 22:56:56,sodapoppin ,gray0ne_,PEPW,pepw
2023-01-28 22:57:06,sodapoppin ,philifilly,PEPW,pepw
2023-01-28 23:01:07,sodapoppin ,foreigngamer,PEPW,pepw
2023-01-28 23:11:13,sodapoppin ,gray0ne_,PEPW,pepw
2023-01-28 22:44:26,sodapoppin ,bladecrusher,PepeLaugh,pepelaugh
2023-01-28 22:47:34,sodapoppin ,pidd_,PepeLaugh,pepelaugh
2023-01-28 22:49:20,sodapoppin ,h0ud1n,PepeLaugh,pepelaugh
2023-01-28 22:50:30,sodapoppin ,kimiryun,PepeLaugh,pepelaugh
2023-01-28 22:50:55,sodapoppin ,0verflux,PepeLaugh,pepelaugh
2023-01-28 22:51:43,sodapoppin ,0verflux,PepeLaugh,pepelaugh
2023-01-28 22:52:08,sodapoppin ,balloonball1,PepeLaugh,pepelaugh
2023-01-28 22:53:05,sodapoppin ,megadisaster24,PepeLaugh,pepelaugh
2023-01-28 22:53:22,sodapoppin ,zxyfer,PepeLaugh,pepelaugh
2023-01-28 22:54:06,sodapoppin ,megadisaster24,PepeLaugh,pepelaugh
2023-01-28 22:54:32,sodapoppin ,degu_channel,PepeLaugh,pepelaugh
2023-01-28 22:55:50,sodapoppin ,megadisaster24,PepeLaugh,pepelaugh
2023-01-28 22:57:19,sodapoppin ,mortr3x,PepeLaugh,pepelaugh
2023-01-28 22:57:23,sodapoppin ,daunhh,PepeLaugh,pepelaugh
2023-01-28 22:58:00,sodapoppin ,smoofers,PepeLaugh,pepelaugh
2023-01-28 22:59:06,sodapoppin ,h0ud1n,PepeLaugh,pepelaugh
2023-01-28 23:00:34,sodapoppin ,alwaysbegaming,PepeLaugh,pepelaugh
2023-01-28 23:01:02,sodapoppin ,h0ud1n,PepeLaugh,pepelaugh
2023-01-28 23:11:34,sodapoppin ,pale_al,PepeLaugh,pepelaugh
2023-01-28 23:11:40,sodapoppin ,iacedrom747,PepeLaugh,pepelaugh
2023-01-28 23:11:44,sodapoppin ,bonekingg,PepeLaugh,pepelaugh
2023-01-28 23:11:58,sodapoppin ,vohr,PepeLaugh,pepelaugh
2023-01-28 22:44:40,sodapoppin ,blizzardtaint,Clueless,clueless
2023-01-28 22:49:21,sodapoppin ,firegeek22,Clueless,clueless
2023-01-28 22:49:32,sodapoppin ,bladecrusher,Clueless,clueless
2023-01-28 22:49:44,sodapoppin ,ceabass,Clueless,clueless
2023-01-28 22:49:46,sodapoppin ,xjasmineeee_x,Clueless,clueless
2023-01-28 22:50:10,sodapoppin ,ceabass,Clueless,clueless
2023-01-28 22:56:58,sodapoppin ,h0ud1n,Clueless,clueless
2023-01-28 22:57:21,sodapoppin ,zinxira,Clueless,clueless
2023-01-28 23:04:53,sodapoppin ,100percent_jab,Clueless,clueless
2023-01-28 23:06:15,sodapoppin ,foreigngamer,Clueless,clueless
2023-01-28 23:06:16,sodapoppin ,lavastar46,Clueless,clueless
2023-01-28 23:06:18,sodapoppin ,tempaccowo,Clueless,clueless
2023-01-28 23:06:21,sodapoppin ,0verflux,Clueless,clueless
2023-01-28 23:06:22,sodapoppin ,businesschipmunks,Clueless,clueless
2023-01-28 23:06:22,sodapoppin ,jamswhat2,Clueless,clueless
2023-01-28 23:06:22,sodapoppin ,maxwell218,Clueless,clueless
2023-01-28 23:06:24,sodapoppin ,diversity96,Clueless,clueless
2023-01-28 23:11:43,sodapoppin ,aquagazm,Clueless,clueless
2023-01-28 23:11:48,sodapoppin ,stryker741,ClueLess,clueless
2023-01-28 23:11:52,sodapoppin ,stryker741,Clueless,clueless
2023-01-28 22:44:48,sodapoppin ,macintoshplus21,VeryPog,verypog
2023-01-28 22:44:54,sodapoppin ,lavastar46,GIGACHAD,gigachad
2023-01-28 22:45:14,sodapoppin ,disasterrogue,GIGACHAD,gigachad
2023-01-28 22:45:17,sodapoppin ,kaelrok1,GIGACHAD,gigachad
2023-01-28 22:45:32,sodapoppin ,0verflux,GIGACHAD,gigachad
2023-01-28 22:45:41,sodapoppin ,charmiee,TTours,ttour
2023-01-28 22:45:42,sodapoppin ,jayjaystar90,DansGame,dansgam
2023-01-28 22:45:49,sodapoppin ,foreigngamer,SHRUGGERS,shrugger
2023-01-28 22:45:50,sodapoppin ,coderhog,SHRUGGERS,shrugger
2023-01-28 22:57:49,sodapoppin ,livingbronze,SHRUGGERS,shrugger
2023-01-28 22:45:50,sodapoppin ,deusexmachinist,No?,no?
2023-01-28 22:51:03,sodapoppin ,ceabass,no?,no?
2023-01-28 22:46:01,sodapoppin ,irndys,HORSING,hors
2023-01-28 22:46:40,sodapoppin ,gray0ne_,Sussy,sussi
2023-01-28 23:06:25,sodapoppin ,supmydoot,Sussy,sussi
2023-01-28 23:10:47,sodapoppin ,iduckbro,Sussy,sussi
2023-01-28 22:46:58,sodapoppin ,foreigngamer,:tf:,:tf:
2023-01-28 22:47:01,sodapoppin ,firegeek22,:tf:,:tf:
2023-01-28 22:47:09,sodapoppin ,charmiee,:tf:,:tf:
2023-01-28 22:47:37,sodapoppin ,gray0ne_,SNIFFA,sniffa
2023-01-28 22:47:41,sodapoppin ,firegeek22,SNIFFA,sniffa
2023-01-28 22:47:43,sodapoppin ,niknip,SNIFFA,sniffa
2023-01-28 22:47:49,sodapoppin ,lavastar46,SNIFFA,sniffa
2023-01-28 22:47:38,sodapoppin ,gayforcandy,ROFL,rofl
2023-01-28 22:51:57,sodapoppin ,gayforcandy,ROFL,rofl
2023-01-28 22:47:40,sodapoppin ,h0ud1n,Aware,awar
2023-01-28 22:48:04,sodapoppin ,deusexmachinist,Aware,awar
2023-01-28 23:05:53,sodapoppin ,0verflux,Aware,awar
2023-01-28 23:09:40,sodapoppin ,deusexmachinist,Aware,awar
2023-01-28 23:09:47,sodapoppin ,masker101,Aware,awar
2023-01-28 23:10:32,sodapoppin ,deusexmachinist,Aware,awar
2023-01-28 23:11:29,sodapoppin ,deusexmachinist,Aware,awar
2023-01-28 22:47:40,sodapoppin ,shovel_knight25,peepoS,peepo
2023-01-28 22:58:29,sodapoppin ,iduckbro,peepoS,peepo
2023-01-28 22:59:00,sodapoppin ,0verflux,peepoS,peepo
2023-01-28 22:59:10,sodapoppin ,zmegotron9,peepoS,peepo
2023-01-28 23:03:23,sodapoppin ,beeenchilling,peepoS,peepo
2023-01-28 23:13:24,sodapoppin ,beeenchilling,peepoS,peepo
2023-01-28 22:47:41,sodapoppin ,sotoah,sodaSneeze,sodasneez
2023-01-28 22:47:42,sodapoppin ,weedismysin,emoneySwag,emoneyswag
2023-01-28 22:47:50,sodapoppin ,leagueenj0yer,the jumpscares,jumpscar
2023-01-28 22:48:05,sodapoppin ,h0ud1n,OMEGALUL2,omegalul2
2023-01-28 22:52:00,sodapoppin ,h0ud1n,OMEGALUL2,omegalul2
