Date,Channel,Username,Message,Tag_owner,Cleanest_message
2023-01-29 01:29:59,sweet_anita ,wadafax,"and at the same time we now have technology that reinforces current power structures, like surveillance",0,like
2023-01-29 01:30:00,sweet_anita ,iduhknowwhattoput,do you ever appreciate how smart you are,0,smart
2023-01-29 01:30:05,sweet_anita ,juiceconnoisseur,YEP kok,0,yep
2023-01-29 01:30:10,sweet_anita ,sohnnyjilverhand,"yeah it's not the de-facto cause, but it's perhaps a good sign to look out for NODDERS",0,yeah good
2023-01-29 01:30:13,sweet_anita ,antman64bit,YEP,0,yep
2023-01-29 01:30:15,sweet_anita ,gilly901,YEP,0,yep
2023-01-29 01:30:17,sweet_anita ,yeet_nick420,YEP,0,yep
2023-01-29 01:30:19,sweet_anita ,superpizzacat,sure that statue wasn't from wales?,0,sure
2023-01-29 01:30:23,sweet_anita ,sohnnyjilverhand,@JuiceConnoisseur @shadykez_4 I knew that was coming KEKhands Sadge,0,Sadge
2023-01-29 01:30:24,sweet_anita ,sixftperfect,YEP Dicks,0,yep dick
2023-01-29 01:30:25,sweet_anita ,turrrtle__,@SohnnyJilverhand MEN MATING WITH SHEEP YEP,0,yep
2023-01-29 01:30:27,sweet_anita ,drdandelion,dick roads anitaSmash,0,dick
2023-01-29 01:30:27,sweet_anita ,sohnnyjilverhand,oh yee LUL,0,LUL
2023-01-29 01:30:29,sweet_anita ,squishyysquid,YEP,0,yep
2023-01-29 01:30:30,sweet_anita ,juiceconnoisseur,YEP,0,yep
2023-01-29 01:30:30,sweet_anita ,barrdbarrd,Lol gotta get me some goat,0,lol
2023-01-29 01:30:31,sweet_anita ,sohnnyjilverhand,"that shit was wild, for sure LUL",0,shit sure LUL
2023-01-29 01:30:36,sweet_anita ,0samslade0,floor dicks were common throughout the empire,0,dick
2023-01-29 01:30:47,sweet_anita ,yeet_nick420,LUL,0,LUL
2023-01-29 01:30:47,sweet_anita ,wadafax,YEP,0,yep
2023-01-29 01:30:47,sweet_anita ,sohnnyjilverhand,@turrrtle__ that was my ancestor!! Pog Strongge,0,pog
