index,Values
time,14
technolog,5
reinforc,1
current,4
power,3
"structures,",1
like,37
surveil,1
petthemod,20
󠀀,4
sp,1
ike,1
protein,3
veefrososa,7
ever,7
appreci,3
smart,1
make,19
sens,4
came,3
improp,1
hygein,1
regul,1
meat,1
yea,3
wa,32
narr,1
2,3
year,12
ago,1
hugthemod,1
@teejay_irl,1
nodder,113
yep,38
kok,3
@sohnnyjilverhand,10
peepobonk,3
yeah,97
it',18
de-facto,1
"cause,",1
perhap,1
good,16
sign,1
look,8
@mabu_jpg,14
kekw,39
yasss,1
energi,1
ohyeahwooyeahbabi,5
sohnny?,1
huh,2
wthh,1
sohnnyjilverhand,2
lol,11
mmmh,2
sure,5
statu,1
wales?,1
spike,1
@juiceconnoisseur,21
@shadykez_4,4
knew,2
come,11
kekhand,1
Sadge,24
binocumungu,1
dick,4
men,1
mate,1
sheep,1
road,1
anitasmash,3
societi,10
oh,21
yee,3
LUL,22
@peeksnon,2
anitawav,30
anitaheart,8
slapahomi,1
anitahug,7
gotta,2
get,33
goat,3
shit,4
"wild,",1
707,1
@wojtekwastakenaswel,1
anitahey,17
mandegawk,1
floor,1
common,2
throughout,1
empir,1
pagman,3
ayo,1
menu,1
mayb,10
thi,58
soon,2
@turrrtle__,1
ancestor!!,1
pog,10
strongg,9
"hi,",1
cutie!,1
beauty,1
eye,1
=,1
),2
imtyp,1
@jakecarter20,1
use,9
wet,1
concret,2
"time,",2
led,2
anitafail,1
pppoof,1
nodd,36
@hpea8,1
anitawink,1
thank,13
sign',1
pub,1
illeter,1
sht,1
got,8
realli,22
wild,1
ngl,1
anitathonk,2
pompei,1
liter,3
destroy,2
volcan,2
eruption.,1
noth,5
todo,1
someth,14
shirley,1
"exactly,",3
live,34
easier,1
you'r,9
gonna,10
choos,5
pleasur,2
lot,8
abund,1
free,2
lead,3
excess,2
lifestyl,1
uniqu,2
problem,6
sometim,2
also,6
ask,7
"yourself,",2
whi,13
certain,3
question,2
tri,21
find,16
answer,2
questions.,1
"""modern",1
sexual,2
fall,3
western,1
"civilisation""",1
often,3
right,10
wing,1
trope,1
nah,2
everyon,2
touch,2
want,19
die,7
grug,1
hunt,1
widevib,1
i'll,4
take,6
name,2
city?,1
im,8
googl,1
scienc,1
welcom,4
back,9
ryzzear!,1
13,1
month,4
resub,3
prime,4
gaming!!,3
anitaprim,4
statut,1
big,4
screen,1
show,3
exampl,5
advanc,5
exhibit,1
hyper,17
sex,1
made,6
volcano,7
angri,1
onli,2
factor,1
@ryzzear,1
anitapog,14
caus,3
erupt,2
sitt,4
i'd,3
imagin,5
pepog,6
pphop,2
nomad,3
bore,2
crayontim,1
comfi,1
"sitting,",1
need,14
becom,7
reliant,1
upon,1
citi,4
you'v,3
built,3
dog,5
cat,1
together..,1
mass,1
hysteria,1
;p,1
wonder,4
what?,1
"remember,",1
sars2-covid19.,1
sar,1
outbreak,1
20,1
