Date,Channel,Username,Message,Tag_owner,Cleanest_message
2023-01-29 00:28:26,xqc ,scorpyl2,thast allowed,0,allow
2023-01-29 00:28:28,xqc ,ver0de,forsenCD CHEATING,0,cheat
2023-01-29 00:28:28,xqc ,tractormechanic,forsenCD nice strat,0,nice
2023-01-29 00:28:28,xqc ,auramusic1212,W DRAWING Pepega Clap,0,Pepega Clap
2023-01-29 00:28:28,xqc ,tappymonster,forsenCD nice,0,nice
2023-01-29 00:28:28,xqc ,fossabot,xqcL akira_katz gifted 10 subs to the community! xqcL Thanks so much for gifting xqcL,0,gift thank
2023-01-29 00:28:28,xqc ,therealzet,forsenCD BUT CHEATERS WIN,0,cheater win
2023-01-29 00:28:28,xqc ,tz_grim,allowed,0,allow
2023-01-29 00:28:28,xqc ,version2pointo,yeah man forscenCD or whatever,0,yeah
2023-01-29 00:28:29,xqc ,parrrky,@akira_katz Thanks for the gift sub!,0,thank gift
2023-01-29 00:28:29,xqc ,blubee0401,AW lmao,0,lao
2023-01-29 00:28:29,xqc ,luckofthedrew,forsenCD CHEATER,0,cheater
2023-01-29 00:28:29,xqc ,jawwshy,forsenCD Clap use the word,0,Clap
2023-01-29 00:28:29,xqc ,buckypancake,man who cares,0,care
2023-01-29 00:28:29,xqc ,forsen_is_the_godgamer,LMFAOO WTF LMFAOO WTF LMFAOO WTF LMFAOO WTF LMFAOO WTF LMFAOO WTF LMFAOO WTF LMFAOO WTF LMFAOO WTF,0,wif
2023-01-29 00:28:30,xqc ,sykkira,OMEGALUL,0,OMEGALUL
2023-01-29 00:28:30,xqc ,duskchimera,forsenCD dear brother,0,dear
2023-01-29 00:28:30,xqc ,auramusic1212,W DRAWING Pepega Clap W DRAWING Pepega Clap W DRAWING Pepega Clap,0,Pepega Clap
2023-01-29 00:28:30,xqc ,corinuh,cheater,0,cheater
2023-01-29 00:28:31,xqc ,youi_777,ill allow it,0,ill allow
2023-01-29 00:28:31,xqc ,vv0l0l0,draw balls OMEGALUL,0,OMEGALUL
2023-01-29 00:28:31,xqc ,czyarny,VICTORY ROYALE EZ,0,EZ
2023-01-29 00:28:31,xqc ,tarolaz,OMEGALUL,0,OMEGALUL
2023-01-29 00:28:31,xqc ,elktheelk,its fine,0,fine
2023-01-29 00:28:31,xqc ,playerdark310,LUL LUL LUL,0,LUL
2023-01-29 00:28:32,xqc ,blueyyj,OMEGALUL,0,OMEGALUL
2023-01-29 00:28:32,xqc ,greenrobot55,TWITTER OMEGALUL,0,OMEGALUL
2023-01-29 00:28:32,xqc ,rem0v0,Okay good drawing x,0,okay good
2023-01-29 00:28:32,xqc ,moonlight92,forsenCD nice,0,nice
2023-01-29 00:28:32,xqc ,theghostlyonyx,forsenCD nah it's fine,0,nah fine
2023-01-29 00:28:32,xqc ,heyymama888,idk tbh im just repeating chat,0,ink
2023-01-29 00:28:32,xqc ,uhsage__,Clap,0,Clap
2023-01-29 00:28:32,xqc ,aeveluna,OMEGALUL,0,OMEGALUL
2023-01-29 00:28:33,xqc ,keepin,+10 ligmas PogU,0,PogU
