index,Values
thast,1
allow,7
forsencd,176
tssk,17
valid,26
󠀀,410
hands?,1
cheat,9
nice,37
strat,1
w,36
draw,66
Pepega,32
Clap,59
lignia,3
xqcl,44
akira_katz,1
gift,8
10,2
sub,7
community!,1
thank,38
much,28
type,6
potfriend,6
weirdchamp,6
run,5
word,27
2023-01-29_002828,1
xqccd,3
brudda,1
man,49
cheater,5
win,2
dre,5
lebronjam,23
no?,1
yeah,8
forscencd,1
whatev,2
victory_hand,1
hint,2
5head,7
bog,14
im,17
call,4
polic,2
ok,24
idk,8
@akira_katz,1
sub!,1
hi,13
arm,7
aw,1
lmao,12
cant,3
use,19
care,3
lmfaoo,47
wtf,131
OMEGALUL,972
dear,1
brother,2
ill,1
bird,4
ligma,15
ball,16
sack,1
victori,1
royal,1
EZ,73
fine,7
vaild,3
LUL,70
catnop,2
cap,1
aliend,3
rareparrot,1
twitter,6
okay,33
good,100
x,14
band,17
nah,3
it',4
tbh,3
repeat,2
chat,101
peepoglad,4
still,26
+10,1
PogU,246
earthquak,35
write,5
bad,64
idea,1
noth,2
rule,2
boook,1
ben,12
yayayayayaya,2
brah,1
porosad,5
ninja,6
pagman,248
anoth,1
top,9
right,11
incid,1
can't,2
hand,10
concerndog,7
yes?,3
think,5
giig,181
thi,48
case,3
aintnoway,144
stop,5
zero2burrito,7
ofc,2
fortllama,1
stage,1
4,5
wideom,12
eras,1
atpbird,1
let,26
go,7
pirat,1
pagbounc,75
nerd,30
well,2
done,10
face_with_tears_of_joy,10
foreveralon,1
gachihyp,47
diesofcring,1
isnt,2
haram,1
twitter?,1
bro,59
so?,9
chickenbon,2
nice...,1
fuck,34
stick,1
thumbs_up,4
look,21
trikool,168
caughtin4k,2
fkt,1
@xqc,39
<3,9
concern,169
wow,9
ahh,4
work,2
caus,1
actual,46
want,6
help,4
juicer,5
get,11
badg,2
next,3
name?,2
https//bit.ly/2kpcw7h,2
anonymously.,2
LULW,202
nyanpl,8
forsen,264
nicew,1
mean,6
even,4
pogul,1
:pinching_hand:,1
pog,102
@lilxerk,1
hehe,2
p,10
2,13
inch,1
xqcm,8
art,66
what?,2
/,3
:tf:,3
cc,1
:p,2
game,5
els,1
would,1
know,6
wa,20
small,2
ass,8
yellow,15
headband,1
he’,2
black,5
akira,1
cheaterforsencd,1
time,70
:victory_hand:,1
lil,10
chicken,2
wing,1
lol,41
ermm,3
xqcll,11
awar,191
tridanc,13
metagam,1
shoe,4
deep,1
who?,1
l,2
azz,1
-100,214
trex,1
ador,1
"drawing,",1
gj,2
xqc,35
titl,1
"""ninja",1
die,6
"ligma""",1
pogger,19
WAYTOODANK,6
xqcmood,13
megaphon,10
recycling_symbol,13
yooo,13
didnt,16
donat,25
anyth,15
100,24
stone,10
"enough,",1
dont,20
deserv,1
love,4
dud,7
that',5
realli,5
xqctechno,37
doe,7
-$100,2
lul,6
pepegacredit,2
-100!,1
-100$,1
yil,5
rex,1
nam1lel,2
hugee,1
movi,3
wokeg,2
loud,1
4hous,9
curs,4
mergeng01,1
join,6
jungl,15
prime!,15
support,22
stream!,22
monster,92
hous,109
hau,1
lulw,2
evil,5
nahh,28
why?,1
action,9
vod,3
enjoy,5
?,74
watch,8
!,6
https//xqc.wtf/,2
tard,1
taylor133pikashock,1
",.",1
ur,6
mom,3
lule,5
hunnid,1
buck,2
monkaW,66
stonesssssss,1
juicecheck,2
xqcow,42
megalul,32
gooo,1
+50,7
100$,1
soap,10
bar,8
-50,11
holyy,2
&100,1
1/10,2
spin,7
xqcdab,1
idiot,7
umbra???,1
woah,1
:recycling_symbol:,3
crazi,6
buckaroo,1
pagchomp,16
enough,18
-100’,1
:megaphone:,2
50,10
"stones,",5
!gamesplay,3
millionair,11
qc,202
