Data,Channel,Username,OriginalMessage,Message
2023-01-29 00:28:28,xqc ,eltecato,forsenCD,forsencd
2023-01-29 00:28:28,xqc ,taxism,forsenCD,forsencd
2023-01-29 00:28:28,xqc ,pyrte,forsenCD,forsencd
2023-01-29 00:28:28,xqc ,johnnybazooka89,forsenCD,forsencd
2023-01-29 00:28:28,xqc ,usopp_sogeking_god,forsenCD,forsencd
2023-01-29 00:28:28,xqc ,vanillah,forsenCD,forsencd
2023-01-29 00:28:28,xqc ,kingsman1351,forsenCD,forsencd
2023-01-29 00:28:28,xqc ,phlames,forsenCD,forsencd
2023-01-29 00:28:28,xqc ,pilotshill,forsenCD,forsencd
2023-01-29 00:28:28,xqc ,shakshuking,forsenCD,forsencd
2023-01-29 00:28:28,xqc ,3y3xo,forsenCD,forsencd
2023-01-29 00:28:29,xqc ,fluffyrturkey,forsenCD,forsencd
2023-01-29 00:28:31,xqc ,g_sior,forsenCD  forsenCD,forsencd
2023-01-29 00:28:32,xqc ,snitchu,forsenCD,forsencd
2023-01-29 00:28:32,xqc ,granoleb,forsenCD,forsencd
2023-01-29 00:28:32,xqc ,monkeeeeeez,forsenCD,forsencd
2023-01-29 00:28:33,xqc ,faceorface,forsenCD,forsencd
2023-01-29 00:28:35,xqc ,r3dwine1,forsenCD,forsencd
2023-01-29 00:28:38,xqc ,ashlee165,no forsenCD,forsencd
2023-01-29 00:28:39,xqc ,a246p00,forsenCD,forsencd
2023-01-29 00:28:41,xqc ,pierocks1111,forsenCD,forsencd
2023-01-29 00:28:42,xqc ,a246p00,forsenCD,forsencd
2023-01-29 00:28:42,xqc ,tysonpo,forsenCD,forsencd
2023-01-29 00:28:43,xqc ,pickledtickling,forsenCD,forsencd
2023-01-29 00:28:44,xqc ,5hde,forsenCD,forsencd
2023-01-29 00:28:45,xqc ,lambstew,forsenCD,forsencd
2023-01-29 00:28:45,xqc ,matudino,forsenCD do what,forsencd
2023-01-29 00:28:45,xqc ,lekserl,forsenCD,forsencd
2023-01-29 00:28:45,xqc ,hasuuuzz,forsenCD,forsencd
2023-01-29 00:28:45,xqc ,g_sior,forsenCD,forsencd
2023-01-29 00:28:48,xqc ,thetrick92,forsenCD forsenCD,forsencd
2023-01-29 00:28:48,xqc ,sneakymrsnake,forsenCD,forsencd
2023-01-29 00:28:49,xqc ,ravpage,forsenCD,forsencd
2023-01-29 00:28:50,xqc ,t8taylor__,forsenCD,forsencd
2023-01-29 00:30:27,xqc ,stupid_misstakes_man,forsenCD,forsencd
2023-01-29 00:30:34,xqc ,ikatz_,forsenCD,forsencd
2023-01-29 00:31:18,xqc ,oszuv,forsenCD,forsencd
2023-01-29 00:31:19,xqc ,vedxdd,forsenCD,forsencd
2023-01-29 00:31:19,xqc ,potfriend166,forsenCD,forsencd
2023-01-29 00:31:19,xqc ,jack943333,forsenCD,forsencd
2023-01-29 00:31:19,xqc ,roboc0p_,forsenCD,forsencd
2023-01-29 00:31:20,xqc ,kresos007,forsenCD,forsencd
2023-01-29 00:31:20,xqc ,icemahler,forsenCD,forsencd
2023-01-29 00:31:20,xqc ,hndred,forsenCD,forsencd
2023-01-29 00:31:20,xqc ,cubaaaaaaaaaaaaaaa,forsenCD,forsencd
2023-01-29 00:31:21,xqc ,steichee,forsenCD,forsencd
