Data,Channel,Username,OriginalMessage,Message
2021-10-18 17:18:10,riotgames ,rapidchrome,hopium!!!,hopium!!!
2021-10-18 17:18:10,riotgames ,topback1,Lol,lol
2021-10-18 17:18:34,riotgames ,sir_dogged,lol,lol
2021-10-18 17:19:20,riotgames ,neonifyhs,lol,lol
2021-10-18 17:20:36,riotgames ,makinefatih,LOL,lol
2021-10-18 17:20:38,riotgames ,nataliexoh,LOL,lol
2021-10-18 17:22:09,riotgames ,kia_61,lol,lol
2021-10-18 17:25:11,riotgames ,makinefatih,LOL,lol
2021-10-18 17:25:18,riotgames ,whiteguyspartyhard,LOL,lol
2021-10-18 17:25:27,riotgames ,j_tripper,LOL,lol
2021-10-18 17:25:35,riotgames ,vietphenom,LOL,lol
2021-10-18 17:25:47,riotgames ,monil566,LOL,lol
2021-10-18 17:26:02,riotgames ,coolviper24,lol,lol
2021-10-18 17:27:02,riotgames ,tumasky,lol,lol
2021-10-18 17:27:41,riotgames ,leoh92,LOL,lol
2021-10-18 17:27:42,riotgames ,biostir,LOL,lol
2021-10-18 17:27:42,riotgames ,ees4,LOL,lol
2021-10-18 17:28:07,riotgames ,sado_master,LOL,lol
2021-10-18 17:29:12,riotgames ,judgement_dayzz,lol,lol
2021-10-18 17:31:39,riotgames ,hourlysword,LOL,lol
2021-10-18 17:31:44,riotgames ,millbow,LOL,lol
2021-10-18 17:32:29,riotgames ,jerryswags,LOL,lol
2021-10-18 17:32:32,riotgames ,digitulized,LOL,lol
2021-10-18 17:36:13,riotgames ,zeewithbigd,lol,lol
2021-10-18 17:36:45,riotgames ,keylan2k,lol,lol
2021-10-18 17:41:38,riotgames ,kia_61,lol,lol
2021-10-18 17:41:54,riotgames ,millbow,LOL,lol
2021-10-18 17:43:16,riotgames ,hindarfjall_,lol,lol
2021-10-18 17:44:18,riotgames ,topback1,Lol,lol
2021-10-18 17:45:03,riotgames ,blastizor,LOL,lol
2021-10-18 17:45:27,riotgames ,jackwhaat,LoL,lol
2021-10-18 17:45:39,riotgames ,darknessumbreon99,LOL,lol
2021-10-18 17:49:09,riotgames ,justapepelover,LOL,lol
2021-10-18 17:51:00,riotgames ,sinkiz123,Lol,lol
2021-10-18 17:51:04,riotgames ,darknessumbreon99,LOL,lol
2021-10-18 17:51:12,riotgames ,ph4ded,LOL,lol
2021-10-18 17:51:12,riotgames ,sinkiz123,lol,lol
2021-10-18 17:51:55,riotgames ,thehunter86,lol,lol
2021-10-18 17:52:44,riotgames ,carl1le,LOL,lol
2021-10-18 17:52:58,riotgames ,lil_pump_is_god_,LOL,lol
2021-10-18 17:54:30,riotgames ,aviciciii,lol,lol
2021-10-18 17:54:33,riotgames ,tigerousity,LOL,lol
2021-10-18 17:56:35,riotgames ,yhy_jasne,lol,lol
2021-10-18 18:04:59,riotgames ,wattsuh,LOL,lol
2021-10-18 18:05:03,riotgames ,tumasky,lol,lol
2021-10-18 18:10:54,riotgames ,azzzlp,lol,lol
2021-10-18 18:11:01,riotgames ,ifoundonepiece,lol,lol
2021-10-18 18:13:50,riotgames ,justjnweaver,LOL,lol
2021-10-18 17:18:10,riotgames ,mrcleanc,GNARRR,gnarrr
2021-10-18 17:18:10,riotgames ,remoleotaku,KEKW,kekw
2021-10-18 17:18:12,riotgames ,andromeda_321,KEKW,kekw
2021-10-18 17:18:13,riotgames ,tututkid,KEKW,kekw
2021-10-18 17:18:21,riotgames ,mentallyinclined,KEKW,kekw
2021-10-18 17:18:24,riotgames ,nusuntgabs,KEKW,kekw
2021-10-18 17:18:38,riotgames ,basicwhiteguyy,KEKW,kekw
2021-10-18 17:19:01,riotgames ,ceilingmouse,KEKW,kekw
2021-10-18 17:19:10,riotgames ,morrisshm,KEKW,kekw
2021-10-18 17:19:15,riotgames ,meshugunah,KEKW,kekw
2021-10-18 17:19:18,riotgames ,teoth96,KEKW,kekw
