###THIS IS A CHAT LOG DATASET of GREEDGODX

Date,Channel,Username,Message,Tag_owner,Cleanest_message
2021-09-14 17:51:09,greekgodx ,mustfax19,Pepega,0,Pepega
2021-09-14 17:51:09,greekgodx ,exiledxinsanity,v tec kicked in Pog,0,pog
2021-09-14 17:51:10,greekgodx ,leeqox,Alarm turn up the volume Alarm,0,alarm
2021-09-14 17:51:10,greekgodx ,adamev1,Pepega Clap,0,Pepega Clap
2021-09-14 17:51:12,greekgodx ,spr1nt3r,THE INSANE SAILOR monkaS,0,monkaS
2021-09-14 17:51:12,greekgodx ,badmindsetabuser,go left bitch,0,bitch
2021-09-14 17:51:14,greekgodx ,futsunoningen,actually working out does legs PogU,0,PogU
2021-09-14 17:51:14,greekgodx ,mrdude90,SMOrc Clap,0,more Clap
2021-09-14 17:51:15,greekgodx ,dihomer,PogU TURNING,0,PogU
2021-09-14 17:51:15,greekgodx ,fluxenis,Pepega make the noise for speed boost,0,Pepega boost
2021-09-14 17:51:15,greekgodx ,scropionxking,Pepega,0,Pepega
2021-09-14 17:51:15,greekgodx ,stanmeister,HELP monkaW,0,help monkaW
2021-09-14 17:51:17,greekgodx ,mrlolsss,LULW,0,LULW
2021-09-14 17:51:17,greekgodx ,fletchdawg,peepoSad,0,peepoSad
2021-09-14 17:51:17,greekgodx ,zjavbxj06,PogU ?,0,PogU
2021-09-14 17:51:17,greekgodx ,gianfrishow,Sadge not pretending,0,Sadge pretend
2021-09-14 17:51:18,greekgodx ,swampy01633,I love this Greek you are the best on twitch no kapp,0,love best
2021-09-14 17:51:21,greekgodx ,sarah_kittykat,literally leaving Greece OMEGALUL,0,OMEGALUL
2021-09-14 17:51:21,greekgodx ,sark3585,monkaW COLLISION COURSE,0,monkaW
2021-09-14 17:51:22,greekgodx ,ivanfunny8,WTF IS WRONG WITH YOU OMEGALUL,0,wif wrong OMEGALUL
2021-09-14 17:51:23,greekgodx ,blessedoff33,ok dud,0,ok dud
2021-09-14 17:51:23,greekgodx ,seanzn,monkaW,0,monkaW
2021-09-14 17:51:23,greekgodx ,usdtether,crash inc monka,0,crash
2021-09-14 17:51:23,greekgodx ,intfanis,peepoSad,0,peepoSad
2021-09-14 17:51:24,greekgodx ,seban___,SMOrc DRIVING A SMALL VW TAXI BOAT SMOrc DRIVING A SMALL VW TAXI BOAT SMOrc DRIVING A SMALL VW TAXI BOAT SMOrc DRIVING A SMALL VW TAXI BOAT,0,more
2021-09-14 17:51:24,greekgodx ,haj_oon,monkaW STEER,0,monkaW
2021-09-14 17:51:25,greekgodx ,leeqox,Alarm turn up the volume Alarm,0,alarm
2021-09-14 17:51:25,greekgodx ,stanmeister,BOOBA,0,BOOBA
2021-09-14 17:51:25,greekgodx ,paxt___,BOOBA,0,BOOBA
2021-09-14 17:51:26,greekgodx ,buckslayr91,Dont drown Grek Sadge,0,drown Sadge
2021-09-14 17:51:26,greekgodx ,zacke24rj,BOOBA,0,BOOBA
2021-09-14 17:51:26,greekgodx ,dillydaddlescallywagger,i love when rosh and greek are together,0,love
2021-09-14 17:51:27,greekgodx ,elongated_musketeer,LULW,0,LULW
2021-09-14 17:51:27,greekgodx ,olmas973,monkaW GIRLS,0,monkaW
2021-09-14 17:51:27,greekgodx ,rayase_,OMEGALUL,0,OMEGALUL
2021-09-14 17:51:27,greekgodx ,fletchdawg,girls DansGame,0,dangan
2021-09-14 17:51:27,greekgodx ,travinatorog,STREAM SNIPERS IRL monkaW,0,monkaW
2021-09-14 17:51:27,greekgodx ,ngx_echo,OMEGALUL,0,OMEGALUL
2021-09-14 17:51:28,greekgodx ,erixp,BOOBA,0,BOOBA
2021-09-14 17:51:28,greekgodx ,ali0who,LULW,0,LULW
2021-09-14 17:51:28,greekgodx ,vitacrown,OMEGALUL,0,OMEGALUL
2021-09-14 17:51:29,greekgodx ,archichnect,BOOBA,0,BOOBA
2021-09-14 17:51:29,greekgodx ,fluxenis,BOOBA,0,BOOBA
2021-09-14 17:51:29,greekgodx ,grazahn1,BOOBA ?,0,BOOBA
2021-09-14 17:51:29,greekgodx ,ilikejollibee,BOOBA ?,0,BOOBA
2021-09-14 17:51:29,greekgodx ,i_am_nab,DansGame GIRLS,0,dangan
2021-09-14 17:51:29,greekgodx ,dreammistm,TRUEING,0,true
2021-09-14 17:51:29,greekgodx ,sark3585,TRUEING,0,true
2021-09-14 17:51:29,greekgodx ,invert3brat,TRUEING,0,true
2021-09-14 17:51:30,greekgodx ,betweenwas,OMEGALUL,0,OMEGALUL
2021-09-14 17:51:30,greekgodx ,zedykku,LULW,0,LULW
2021-09-14 17:51:30,greekgodx ,superevilfinn,Two girls BOOBA,0,BOOBA
2021-09-14 17:51:30,greekgodx ,ant__k,BOOBA,0,BOOBA
2021-09-14 17:51:30,greekgodx ,starkgaryen1,OMEGALUL,0,OMEGALUL
2021-09-14 17:51:30,greekgodx ,ammoow,LULW,0,LULW
2021-09-14 17:51:30,greekgodx ,gianfrishow,BOOBA ?,0,BOOBA
2021-09-14 17:51:31,greekgodx ,fletchdawg,girls DansGame girls DansGame girls DansGame girls DansGame girls DansGame,0,dangan
2021-09-14 17:51:31,greekgodx ,jamboxp,EZ,0,EZ
2021-09-14 17:51:31,greekgodx ,darkight1011,lol its two girls,0,lol
2021-09-14 17:51:31,greekgodx ,sirwaddleton,BOOBA,0,BOOBA
2021-09-14 17:51:31,greekgodx ,ali0who,TRUEING,0,true
2021-09-14 17:51:31,greekgodx ,taeroni,OMEGALUL,0,OMEGALUL
2021-09-14 17:51:31,greekgodx ,fluxenis,BOOBA hol up,0,BOOBA
2021-09-14 17:51:31,greekgodx ,alrycath,LULW,0,LULW
2021-09-14 17:51:31,greekgodx ,elongated_musketeer,BOOBA,0,BOOBA
2021-09-14 17:51:31,greekgodx ,sarah_kittykat,OMEGALUL,0,OMEGALUL
2021-09-14 17:51:32,greekgodx ,superpiie,TRUEING,0,true
2021-09-14 17:51:32,greekgodx ,invincible_vltrm,TWO ? BOOBA,0,BOOBA
2021-09-14 17:51:32,greekgodx ,ggx_goblin,OMEGALUL,0,OMEGALUL
2021-09-14 17:51:32,greekgodx ,weareallhuman,women DansGame,0,dangan
2021-09-14 17:51:33,greekgodx ,ant__k,BOOBA 󠀀,0,BOOBA
2021-09-14 17:51:33,greekgodx ,zedykku,TRUEING,0,true
2021-09-14 17:51:34,greekgodx ,thah4x0r,ugh girls,0,ugh
2021-09-14 17:51:34,greekgodx ,paxt___,BOOBA SPIT GAME,0,BOOBA
2021-09-14 17:51:34,greekgodx ,feelsokayegman,TRUEING,0,true
2021-09-14 17:51:35,greekgodx ,josuke_pog,DansGame GIRLS,0,dangan
2021-09-14 17:51:35,greekgodx ,superevilfinn,BOOBA DATE,0,BOOBA
2021-09-14 17:51:35,greekgodx ,fartecho,GET BACK monkaW,0,monkaW
2021-09-14 17:51:35,greekgodx ,elongated_musketeer,GIRLS DansGame,0,dangan
2021-09-14 17:51:35,greekgodx ,jamboxp,EZ Go to them EZ Go to them EZ Go to them EZ Go to them EZ Go to them EZ Go to them,0,EZ
2021-09-14 17:51:35,greekgodx ,mangokagaan,BOOBA,0,BOOBA
2021-09-14 17:51:36,greekgodx ,marcfryd,LULW,0,LULW
2021-09-14 17:51:36,greekgodx ,spike_77,BOOBA,0,BOOBA
2021-09-14 17:51:36,greekgodx ,vloop22,OMEGALUL,0,OMEGALUL
2021-09-14 17:51:36,greekgodx ,cmonbruh_420,TRUEING NVM,0,true
2021-09-14 17:51:37,greekgodx ,vinceng97,BOOBA,0,BOOBA
2021-09-14 17:51:37,greekgodx ,sark3585,BOOBA,0,BOOBA
2021-09-14 17:51:37,greekgodx ,paracosmdd,BOOBA,0,BOOBA
2021-09-14 17:51:37,greekgodx ,ilikejollibee,two BOOBA ?,0,BOOBA
2021-09-14 17:51:37,greekgodx ,vitacrown,FAKE TAXI PagMan FAKE TAXI PagMan FAKE TAXI PagMan FAKE TAXI PagMan FAKE TAXI PagMan FAKE TAXI PagMan FAKE TAXI PagMan,0,fake
2021-09-14 17:51:37,greekgodx ,mehditelepati07,"steer opposite direction that you want to go : left to right, right to left",0,want
2021-09-14 17:51:37,greekgodx ,superevilfinn,BOOBA SEX,0,BOOBA
2021-09-14 17:51:38,greekgodx ,barca_mafia,2 ft deep water OMEGALUL,0,OMEGALUL
2021-09-14 17:51:38,greekgodx ,infinitehype123,Saved,0,save
2021-09-14 17:51:38,greekgodx ,triduum,BOOBA Girls,0,BOOBA
2021-09-14 17:51:39,greekgodx ,2001_mazda_protege,forsenCD :victory_hand:,0,:victory_hand:
2021-09-14 17:51:39,greekgodx ,lordisaac_,TRUEING,0,true
