,Date,Channel,Username,Message,Tag_owner,Cleanest_message,Scores
0,2023-01-29 01:29:59,sweet_anita ,wadafax,"and at the same time we now have technology that reinforces current power structures, like surveillance",0,like,"{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.3612}"
1,2023-01-29 01:30:00,sweet_anita ,iduhknowwhattoput,do you ever appreciate how smart you are,0,smart,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.6597}"
2,2023-01-29 01:30:05,sweet_anita ,juiceconnoisseur,yep kok,0,yep,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}"
3,2023-01-29 01:30:10,sweet_anita ,sohnnyjilverhand,"yeah it's not the de-facto cause, but it's perhaps a good sign to look out for nodders",0,yeah good,"{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0.6652}"
4,2023-01-29 01:30:13,sweet_anita ,antman64bit,yep,0,yep,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}"
5,2023-01-29 01:30:15,sweet_anita ,gilly901,yep,0,yep,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}"
6,2023-01-29 01:30:17,sweet_anita ,yeet_nick420,yep,0,yep,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}"
7,2023-01-29 01:30:19,sweet_anita ,superpizzacat,sure that statue wasn't from wales?,0,sure,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.3182}"
8,2023-01-29 01:30:23,sweet_anita ,sohnnyjilverhand,@juiceconnoisseur @shadykez_4 i knew that was coming kekhands sadge,0,Sadge,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.6124}"
9,2023-01-29 01:30:24,sweet_anita ,sixftperfect,yep dicks,0,yep dick,"{'neg': 0.0, 'neu': 0.312, 'pos': 0.688, 'compound': 0.296}"
10,2023-01-29 01:30:25,sweet_anita ,turrrtle__,@sohnnyjilverhand men mating with sheep yep,0,yep,"{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.296}"
11,2023-01-29 01:30:27,sweet_anita ,drdandelion,dick roads anitasmash,0,dick,"{'neg': 0.623, 'neu': 0.377, 'pos': 0.0, 'compound': -0.5106}"
12,2023-01-29 01:30:27,sweet_anita ,sohnnyjilverhand,oh yee lul,0,LUL,"{'neg': 0.0, 'neu': 0.286, 'pos': 0.714, 'compound': 0.7184}"
13,2023-01-29 01:30:29,sweet_anita ,squishyysquid,yep,0,yep,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}"
14,2023-01-29 01:30:30,sweet_anita ,juiceconnoisseur,yep,0,yep,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}"
15,2023-01-29 01:30:30,sweet_anita ,barrdbarrd,lol gotta get me some goat,0,lol,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.7184}"
16,2023-01-29 01:30:31,sweet_anita ,sohnnyjilverhand,"that shit was wild, for sure lul",0,shit sure LUL,"{'neg': 0.242, 'neu': 0.268, 'pos': 0.49, 'compound': 0.5719}"
17,2023-01-29 01:30:36,sweet_anita ,0samslade0,floor dicks were common throughout the empire,0,dick,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
18,2023-01-29 01:30:47,sweet_anita ,yeet_nick420,lul,0,LUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.7184}"
19,2023-01-29 01:30:47,sweet_anita ,wadafax,yep,0,yep,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}"
