,Date,Channel,Username,Message,Tag_owner,Cleanest_message,Scores
0,2023-01-28 23:18:22,esfandtv ,hellyeahbaby,hell yeah baby,0,hell yeah,"{'neg': 0.59, 'neu': 0.128, 'pos': 0.282, 'compound': -0.5267}"
1,2023-01-28 23:18:23,esfandtv ,grannynonny,"then there was a game with a hallway and a big old room, likea huanted house or castle, basement of horrors, that was good too",0,good,"{'neg': 0.125, 'neu': 0.777, 'pos': 0.098, 'compound': -0.2023}"
2,2023-01-28 23:18:28,esfandtv ,teleprompte,thanks for streaming esfand,0,thank,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
3,2023-01-28 23:18:38,esfandtv ,leysfort,ok bye esfand,0,ok,"{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.296}"
4,2023-01-28 23:18:50,esfandtv ,grannynonny,esfand plays a lot of horror,0,play horror,"{'neg': 0.381, 'neu': 0.412, 'pos': 0.206, 'compound': -0.4019}"
5,2023-01-28 23:18:59,esfandtv ,thegummibearmassacre,d:,0,D:,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}"
6,2023-01-28 23:19:00,esfandtv ,kfoo_,you're fine,0,fine,"{'neg': 0.0, 'neu': 0.357, 'pos': 0.643, 'compound': 0.2023}"
7,2023-01-28 23:19:02,esfandtv ,genisyys_,you made him upset d:,0,upset D:,"{'neg': 0.333, 'neu': 0.385, 'pos': 0.282, 'compound': -0.1027}"
8,2023-01-28 23:19:04,esfandtv ,fozenoh,monkaw,0,monkaW,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.6124}"
9,2023-01-28 23:19:09,esfandtv ,daunted_mist,omegalul,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}"
10,2023-01-28 23:19:12,esfandtv ,rakleson,get out of here see if i care peeposad,0,care peepoSad,"{'neg': 0.282, 'neu': 0.493, 'pos': 0.225, 'compound': -0.2023}"
11,2023-01-28 23:19:17,esfandtv ,waffleboiiii,lulw,0,LULW,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}"
12,2023-01-28 23:19:25,esfandtv ,supibot,"heechulized, your daily cookie: this is a fantastic day for you. you'll have a great deal of physical power.",0,great,"{'neg': 0.0, 'neu': 0.688, 'pos': 0.312, 'compound': 0.8271}"
13,2023-01-28 23:19:41,esfandtv ,supibot,"angeltwothree, your daily cookie: everything has beauty but not everyone sees it.",0,ha,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.34}"
14,2023-01-28 23:19:49,esfandtv ,supibot,"spitfiremkxiv, your daily cookie: it's a day of challenges. you're a pro at questioning yourself, as you'll prove today when you take a hard look at your accomplishments.",0,hard,"{'neg': 0.096, 'neu': 0.859, 'pos': 0.045, 'compound': -0.128}"
15,2023-01-28 23:19:56,esfandtv ,duskatdawn117,esfand :),0,:),"{'neg': 0.0, 'neu': 0.25, 'pos': 0.75, 'compound': 0.4588}"
16,2023-01-28 23:19:57,esfandtv ,kngrsm,nvidia broadcast has some cool features definitely worth checking out but probably best to watch some youtube howtos before,0,ha cool worth best,"{'neg': 0.0, 'neu': 0.583, 'pos': 0.417, 'compound': 0.8674}"
17,2023-01-28 23:20:08,esfandtv ,koominator,lul lul,0,LUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.9001}"
18,2023-01-28 23:20:27,esfandtv ,angeltwothree,lul,0,LUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.7184}"
19,2023-01-28 23:20:35,esfandtv ,vanguard771,if nvidia broadcast blocks out background noise does that mean we won't hear bonnie anymore?,0,block,"{'neg': 0.119, 'neu': 0.881, 'pos': 0.0, 'compound': -0.2263}"
20,2023-01-28 23:20:36,esfandtv ,3b0ne,stare stop,0,stop,"{'neg': 0.688, 'neu': 0.312, 'pos': 0.0, 'compound': -0.296}"
21,2023-01-28 23:20:54,esfandtv ,grannynonny,now that's gonna nag at me.. that game he could play again and i wouldn't mind...,0,nag play,"{'neg': 0.132, 'neu': 0.741, 'pos': 0.127, 'compound': -0.0258}"
22,2023-01-28 23:21:12,esfandtv ,rakleson,nice nuts,0,nice,"{'neg': 0.451, 'neu': 0.0, 'pos': 0.549, 'compound': 0.128}"
