Date,Channel,Username,Message,Tag_owner,Cleanest_message,scores,comp_score,sentiment
14/09/2021 17:51,greekgodx ,mustfax19,Pepega,0,Pepega,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.6124}",-0.6124,negative
14/09/2021 17:51,greekgodx ,exiledxinsanity,v tec kicked in Pog,0,pog,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",0.4588,positive
14/09/2021 17:51,greekgodx ,leeqox,Alarm turn up the volume Alarm,0,alarm,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.34}",-0.34,negative
14/09/2021 17:51,greekgodx ,adamev1,Pepega Clap,0,Pepega Clap,"{'neg': 0.571, 'neu': 0.0, 'pos': 0.429, 'compound': -0.25}",-0.25,negative
14/09/2021 17:51,greekgodx ,spr1nt3r,THE INSANE SAILOR monkaS,0,monkaS,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
14/09/2021 17:51,greekgodx ,badmindsetabuser,go left bitch,0,bitch,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5859}",-0.5859,negative
14/09/2021 17:51,greekgodx ,futsunoningen,actually working out does legs PogU,0,PogU,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.7184}",0.7184,positive
14/09/2021 17:51,greekgodx ,mrdude90,SMOrc Clap,0,more Clap,"{'neg': 0.0, 'neu': 0.233, 'pos': 0.767, 'compound': 0.5095}",0.5095,positive
14/09/2021 17:51,greekgodx ,dihomer,PogU TURNING,0,PogU,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.7184}",0.7184,positive
14/09/2021 17:51,greekgodx ,fluxenis,Pepega make the noise for speed boost,0,Pepega boost,"{'neg': 0.597, 'neu': 0.0, 'pos': 0.403, 'compound': -0.3182}",-0.3182,negative
14/09/2021 17:51,greekgodx ,scropionxking,Pepega,0,Pepega,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.6124}",-0.6124,negative
14/09/2021 17:51,greekgodx ,stanmeister,HELP monkaW,0,help monkaW,"{'neg': 0.597, 'neu': 0.0, 'pos': 0.403, 'compound': -0.3182}",-0.3182,negative
14/09/2021 17:51,greekgodx ,mrlolsss,LULW,0,LULW,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",0.4588,positive
14/09/2021 17:51,greekgodx ,fletchdawg,peepoSad,0,peepoSad,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4588}",-0.4588,negative
14/09/2021 17:51,greekgodx ,zjavbxj06,PogU ?,0,PogU,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.7184}",0.7184,positive
14/09/2021 17:51,greekgodx ,gianfrishow,Sadge not pretending,0,Sadge pretend,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.7506}",-0.7506,negative
14/09/2021 17:51,greekgodx ,swampy01633,I love this Greek you are the best on twitch no kapp,0,love best,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.8555}",0.8555,positive
14/09/2021 17:51,greekgodx ,sarah_kittykat,literally leaving Greece OMEGALUL,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",0.4588,positive
14/09/2021 17:51,greekgodx ,sark3585,monkaW COLLISION COURSE,0,monkaW,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.6124}",-0.6124,negative
14/09/2021 17:51,greekgodx ,ivanfunny8,WTF IS WRONG WITH YOU OMEGALUL,0,wif wrong OMEGALUL,"{'neg': 0.396, 'neu': 0.128, 'pos': 0.477, 'compound': 0.1613}",0.1613,positive
14/09/2021 17:51,greekgodx ,blessedoff33,ok dud,0,ok dud,"{'neg': 0.476, 'neu': 0.0, 'pos': 0.524, 'compound': 0.0516}",0.0516,positive
14/09/2021 17:51,greekgodx ,seanzn,monkaW,0,monkaW,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.6124}",-0.6124,negative
14/09/2021 17:51,greekgodx ,usdtether,crash inc monka,0,crash,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4019}",-0.4019,negative
14/09/2021 17:51,greekgodx ,intfanis,peepoSad,0,peepoSad,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4588}",-0.4588,negative
14/09/2021 17:51,greekgodx ,seban___,SMOrc DRIVING A SMALL VW TAXI BOAT SMOrc DRIVING A SMALL VW TAXI BOAT SMOrc DRIVING A SMALL VW TAXI BOAT SMOrc DRIVING A SMALL VW TAXI BOAT,0,more,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
14/09/2021 17:51,greekgodx ,haj_oon,monkaW STEER,0,monkaW,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.6124}",-0.6124,negative
14/09/2021 17:51,greekgodx ,leeqox,Alarm turn up the volume Alarm,0,alarm,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.34}",-0.34,negative
14/09/2021 17:51,greekgodx ,stanmeister,BOOBA,0,BOOBA,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.25}",0.25,positive
14/09/2021 17:51,greekgodx ,paxt___,BOOBA,0,BOOBA,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.25}",0.25,positive
14/09/2021 17:51,greekgodx ,buckslayr91,Dont drown Grek Sadge,0,drown Sadge,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.8658}",-0.8658,negative
14/09/2021 17:51,greekgodx ,zacke24rj,BOOBA,0,BOOBA,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.25}",0.25,positive
14/09/2021 17:51,greekgodx ,dillydaddlescallywagger,i love when rosh and greek are together,0,love,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6369}",0.6369,positive
14/09/2021 17:51,greekgodx ,elongated_musketeer,LULW,0,LULW,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",0.4588,positive
14/09/2021 17:51,greekgodx ,olmas973,monkaW GIRLS,0,monkaW,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.6124}",-0.6124,negative
14/09/2021 17:51,greekgodx ,rayase_,OMEGALUL,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",0.4588,positive
14/09/2021 17:51,greekgodx ,fletchdawg,girls DansGame,0,dangan,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
14/09/2021 17:51,greekgodx ,travinatorog,STREAM SNIPERS IRL monkaW,0,monkaW,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.6124}",-0.6124,negative
14/09/2021 17:51,greekgodx ,ngx_echo,OMEGALUL,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",0.4588,positive
14/09/2021 17:51,greekgodx ,erixp,BOOBA,0,BOOBA,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.25}",0.25,positive
14/09/2021 17:51,greekgodx ,ali0who,LULW,0,LULW,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",0.4588,positive
14/09/2021 17:51,greekgodx ,vitacrown,OMEGALUL,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",0.4588,positive
14/09/2021 17:51,greekgodx ,archichnect,BOOBA,0,BOOBA,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.25}",0.25,positive
14/09/2021 17:51,greekgodx ,fluxenis,BOOBA,0,BOOBA,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.25}",0.25,positive
