,Date,Channel,Username,Message,Tag_owner,Cleanest_message,Scores
0,2023-01-28 22:44:02,sodapoppin ,foreigngamer,havent had a save point in a while,0,save,"{'neg': 0.273, 'neu': 0.727, 'pos': 0.0, 'compound': -0.3875}"
1,2023-01-28 22:44:05,sodapoppin ,patosw,@cosbert dunno why kappa,0,Kappa,"{'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}"
2,2023-01-28 22:44:19,sodapoppin ,deusexmachinist,pepelaugh god this part sucked in the original widepepomegakekhappychamphands,0,god suck,"{'neg': 0.195, 'neu': 0.325, 'pos': 0.481, 'compound': 0.5267}"
3,2023-01-28 22:44:20,sodapoppin ,ailoops,actually that would be ok in texas since is already out :),0,ok :),"{'neg': 0.0, 'neu': 0.658, 'pos': 0.342, 'compound': 0.6369}"
4,2023-01-28 22:44:23,sodapoppin ,ghostsavant,woow thats great,0,great,"{'neg': 0.0, 'neu': 0.328, 'pos': 0.672, 'compound': 0.6249}"
5,2023-01-28 22:44:29,sodapoppin ,fossabot,thank you for subscribing with prime gaming for 4 months ferdaberta meow myaaa,0,thank,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.3612}"
6,2023-01-28 22:44:47,sodapoppin ,nacchikins,yeah,0,yeah,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}"
7,2023-01-28 22:44:47,sodapoppin ,curiitas_,i hated this part pepelaugh,0,hate,"{'neg': 0.412, 'neu': 0.294, 'pos': 0.294, 'compound': -0.296}"
8,2023-01-28 22:44:56,sodapoppin ,gaavv,oh shit ur playing deadspace ! this game is fucking awesome!,0,shit play fuck,"{'neg': 0.196, 'neu': 0.435, 'pos': 0.369, 'compound': 0.49}"
9,2023-01-28 22:44:56,sodapoppin ,elillama_,this guy is a fucking gigachad,0,fuck,"{'neg': 0.0, 'neu': 0.538, 'pos': 0.462, 'compound': 0.6478}"
10,2023-01-28 22:45:05,sodapoppin ,airgoose1,is this the part that makes you feel ill notlikethis,0,ill,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.4215}"
11,2023-01-28 22:45:06,sodapoppin ,leagueenj0yer,i like this guy,0,like,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}"
12,2023-01-28 22:45:24,sodapoppin ,sosoomad,doom guy engineer,0,doom,"{'neg': 0.574, 'neu': 0.426, 'pos': 0.0, 'compound': -0.4019}"
13,2023-01-28 22:45:27,sodapoppin ,blackpaisleyy,weakest miner gigachad,0,weakest,"{'neg': 0.398, 'neu': 0.12, 'pos': 0.482, 'compound': 0.1779}"
14,2023-01-28 22:45:29,sodapoppin ,kaelrok1,an engineer worth his salary,0,worth,"{'neg': 0.0, 'neu': 0.678, 'pos': 0.322, 'compound': 0.2263}"
15,2023-01-28 22:45:35,sodapoppin ,gayforcandy,"ya man, sending out a beacon to grab the alien tik tok obelisk, a true hero",0,true hero,"{'neg': 0.0, 'neu': 0.686, 'pos': 0.314, 'compound': 0.7506}"
16,2023-01-28 22:45:40,sodapoppin ,dbarixx,true,0,true,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}"
17,2023-01-28 22:45:50,sodapoppin ,elillama_,aaaa dead,0,dead,"{'neg': 0.811, 'neu': 0.189, 'pos': 0.0, 'compound': -0.6486}"
18,2023-01-28 22:45:51,sodapoppin ,drewj_el,solid,0,solid,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1531}"
19,2023-01-28 22:46:09,sodapoppin ,deusexmachinist,unless your max difficulty it doesnt kill iirc @sodapoppin,1,kill,"{'neg': 0.183, 'neu': 0.533, 'pos': 0.285, 'compound': 0.3265}"
20,2023-01-28 22:46:15,sodapoppin ,kozosayz,"shouldn't waste plasma ammo on those foes, just take pulse weapon and shoot the bubble",0,weapon shoot,"{'neg': 0.363, 'neu': 0.526, 'pos': 0.111, 'compound': -0.6449}"
21,2023-01-28 22:46:19,sodapoppin ,bigbigbod,your armor will tank it kappa,0,Kappa,"{'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.4588}"
22,2023-01-28 22:46:21,sodapoppin ,fossabot,thank you for subscribing with prime gaming for 4 months thesenpapi meow myaaa,0,thank,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.3612}"
23,2023-01-28 22:46:26,sodapoppin ,whtamidoinhre,on the easiest difficulty nothing can one shot you,0,easiest,"{'neg': 0.197, 'neu': 0.574, 'pos': 0.23, 'compound': 0.1027}"
24,2023-01-28 22:46:30,sodapoppin ,anyone90,@sodapoppin missed bench,1,miss,"{'neg': 0.524, 'neu': 0.476, 'pos': 0.0, 'compound': -0.296}"
25,2023-01-28 22:46:38,sodapoppin ,novacht,@whtamidoinhre he's on hard,0,hard,"{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.1027}"
26,2023-01-28 22:46:53,sodapoppin ,foreigngamer,@whtamidoinhre too bad hes not on it,0,bad,"{'neg': 0.368, 'neu': 0.632, 'pos': 0.0, 'compound': -0.5423}"
27,2023-01-28 22:46:58,sodapoppin ,deusexmachinist,@novacht splodey bois dont one shot on hard,0,hard,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.1027}"
28,2023-01-28 22:47:02,sodapoppin ,petghar,lul,0,LUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.7184}"
29,2023-01-28 22:47:04,sodapoppin ,curiitas_,xdd missed bench,0,miss,"{'neg': 0.524, 'neu': 0.476, 'pos': 0.0, 'compound': -0.296}"
30,2023-01-28 22:47:06,sodapoppin ,supmydoot,soda actually good at this game,0,good,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}"
31,2023-01-28 22:47:07,sodapoppin ,gayforcandy,not caring sounds like the play,0,care like play,"{'neg': 0.467, 'neu': 0.296, 'pos': 0.237, 'compound': -0.3265}"
32,2023-01-28 22:47:13,sodapoppin ,snoredge,xdd missed ruby,0,miss,"{'neg': 0.524, 'neu': 0.476, 'pos': 0.0, 'compound': -0.296}"
33,2023-01-28 22:47:14,sodapoppin ,artie_the1man_party,@sodapoppin will you and veibae ever finish devil in me?,1,devil,"{'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.6597}"
34,2023-01-28 22:47:15,sodapoppin ,pattiiiiiiii,xdd missed legendary bench,0,miss,"{'neg': 0.423, 'neu': 0.577, 'pos': 0.0, 'compound': -0.296}"
35,2023-01-28 22:47:19,sodapoppin ,foreigngamer,@cucubellator yeah this is a callisto protocol rip off,0,yeah rip,"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.296}"
36,2023-01-28 22:47:23,sodapoppin ,spinney,missed super soaker 5000 pepelaugh,0,miss super,"{'neg': 0.198, 'neu': 0.18, 'pos': 0.622, 'compound': 0.6908}"
37,2023-01-28 22:47:24,sodapoppin ,eonsteams,dead pool let the bodies hit the floor,0,dead,"{'neg': 0.381, 'neu': 0.619, 'pos': 0.0, 'compound': -0.6486}"
38,2023-01-28 22:47:26,sodapoppin ,toatsnotreal,@cucubellator calisto protocol is lidl dead space,0,dead,"{'neg': 0.417, 'neu': 0.583, 'pos': 0.0, 'compound': -0.6486}"
39,2023-01-28 22:47:28,sodapoppin ,thegungus,@cucubellator blasphemous dansgame,0,dangan,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
40,2023-01-28 22:47:37,sodapoppin ,nacchikins,monkaw,0,monkaW,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.6124}"
41,2023-01-28 22:47:40,sodapoppin ,0verflux,omegalul,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}"
42,2023-01-28 22:47:41,sodapoppin ,fossabot,make sure to follow the stream! :),0,sure :),"{'neg': 0.0, 'neu': 0.472, 'pos': 0.528, 'compound': 0.68}"
43,2023-01-28 22:47:43,sodapoppin ,milkyeti,omegalul,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}"
44,2023-01-28 22:47:44,sodapoppin ,marlsweetie,lul,0,LUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.7184}"
45,2023-01-28 22:47:47,sodapoppin ,bladecrusher,lulw i jumped,0,LULW,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.4588}"
46,2023-01-28 22:47:55,sodapoppin ,bennisfsk,i came lulw,0,LULW,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.4588}"
47,2023-01-28 22:48:03,sodapoppin ,spinney,lul,0,LUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.7184}"
48,2023-01-28 22:48:03,sodapoppin ,elillama_,@cucubellator easiest bait of your life xdd,0,easiest,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.4215}"
49,2023-01-28 22:48:07,sodapoppin ,paocumsalada,omegalul,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}"
50,2023-01-28 22:48:10,sodapoppin ,death_dono,lul,0,LUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.7184}"
51,2023-01-28 22:48:10,sodapoppin ,imskyhigh,"god ur pepega chat, dont fall for the bait omegalul",0,god Pepega OMEGALUL,"{'neg': 0.199, 'neu': 0.464, 'pos': 0.338, 'compound': 0.2732}"
52,2023-01-28 22:48:19,sodapoppin ,romanovskibr,omegalul,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}"
53,2023-01-28 22:48:25,sodapoppin ,gayforcandy,clueless i wonder if that stasis recharge hints anything,0,clueless,"{'neg': 0.238, 'neu': 0.762, 'pos': 0.0, 'compound': -0.3612}"
54,2023-01-28 22:48:30,sodapoppin ,elillama_,the hard way? monkachrist,0,hard,"{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.1027}"
55,2023-01-28 22:48:34,sodapoppin ,estafood,:),0,:),"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}"
56,2023-01-28 22:48:34,sodapoppin ,oldwrldblues,this guy is insane lmao,0,lao,"{'neg': 0.31, 'neu': 0.345, 'pos': 0.345, 'compound': 0.0772}"
57,2023-01-28 22:48:42,sodapoppin ,dancerfool,destroy the tethers mr poppin,0,destroy,"{'neg': 0.467, 'neu': 0.533, 'pos': 0.0, 'compound': -0.5423}"
58,2023-01-28 22:48:59,sodapoppin ,philifilly,careful isaac xdd,0,care,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.1531}"
59,2023-01-28 22:48:59,sodapoppin ,milkyeti,sos save our simp,0,save,"{'neg': 0.0, 'neu': 0.484, 'pos': 0.516, 'compound': 0.4939}"
60,2023-01-28 22:49:00,sodapoppin ,thomasgames22,sodacry fuck,0,fuck,"{'neg': 0.778, 'neu': 0.222, 'pos': 0.0, 'compound': -0.5423}"
61,2023-01-28 22:49:07,sodapoppin ,fossabot,sodal thank you for resubscribing irish922 for 100 months meow myaaa,0,thank,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}"
62,2023-01-28 22:49:10,sodapoppin ,airgoose1,surely nothing is going to happen batchest,0,sure,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}"
63,2023-01-28 22:49:17,sodapoppin ,rr,you have to destroy the tethers,0,destroy,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.5423}"
64,2023-01-28 22:49:21,sodapoppin ,lastzombierunner,yeah,0,yeah,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}"
65,2023-01-28 22:49:36,sodapoppin ,chessmaniaconcrack,shoot that wheel,0,shoot,"{'neg': 0.545, 'neu': 0.455, 'pos': 0.0, 'compound': -0.34}"
66,2023-01-28 22:49:36,sodapoppin ,irndys,concerned hes pretending right?,0,pretend,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.1027}"
67,2023-01-28 22:49:39,sodapoppin ,foreigngamer,feelsdankman good one,0,good,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}"
68,2023-01-28 22:49:41,sodapoppin ,thenorwegiancarrot,"damn, gomer pyle lost some weight",0,lost,"{'neg': 0.556, 'neu': 0.444, 'pos': 0.0, 'compound': -0.6124}"
69,2023-01-28 22:49:46,sodapoppin ,alwaysbegaming,pepega,0,Pepega,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4588}"
70,2023-01-28 22:50:11,sodapoppin ,romanovskibr,not pretending sadge,0,pretend Sadge,"{'neg': 0.235, 'neu': 0.181, 'pos': 0.584, 'compound': 0.4449}"
71,2023-01-28 22:50:17,sodapoppin ,beefgirl,sadge,0,Sadge,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.6124}"
72,2023-01-28 22:50:19,sodapoppin ,0verflux,pepega,0,Pepega,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4588}"
73,2023-01-28 22:50:22,sodapoppin ,franktizzle,pepega,0,Pepega,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4588}"
74,2023-01-28 22:50:23,sodapoppin ,chessmaniaconcrack,not that that thing that powers it shoot that,0,shoot,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.34}"
75,2023-01-28 22:50:25,sodapoppin ,soudro,pepega,0,Pepega,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4588}"
76,2023-01-28 22:50:26,sodapoppin ,spinney,pepega clap,0,Pepega Clap,"{'neg': 0.429, 'neu': 0.0, 'pos': 0.571, 'compound': 0.25}"
