,Date,Channel,Username,Message,Tag_owner,Cleanest_message,Scores
0,2023-01-29 00:28:26,xqc ,scorpyl2,thast allowed,0,allow,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,2023-01-29 00:28:28,xqc ,ver0de,forsencd cheating,0,cheat,"{'neg': 0.783, 'neu': 0.217, 'pos': 0.0, 'compound': -0.5574}"
2,2023-01-29 00:28:28,xqc ,tractormechanic,forsencd nice strat,0,nice,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.4215}"
3,2023-01-29 00:28:28,xqc ,auramusic1212,w drawing pepega clap,0,Pepega Clap,"{'neg': 0.333, 'neu': 0.222, 'pos': 0.444, 'compound': 0.25}"
4,2023-01-29 00:28:28,xqc ,tappymonster,forsencd nice,0,nice,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}"
5,2023-01-29 00:28:28,xqc ,fossabot,xqcl akira_katz gifted 10 subs to the community! xqcl thanks so much for gifting xqcl,0,gift thank,"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.4926}"
6,2023-01-29 00:28:28,xqc ,therealzet,forsencd but cheaters win,0,cheater win,"{'neg': 0.348, 'neu': 0.181, 'pos': 0.471, 'compound': 0.3291}"
7,2023-01-29 00:28:28,xqc ,tz_grim,allowed,0,allow,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,2023-01-29 00:28:28,xqc ,version2pointo,yeah man forscencd or whatever,0,yeah,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.296}"
9,2023-01-29 00:28:29,xqc ,parrrky,@akira_katz thanks for the gift sub!,0,thank gift,"{'neg': 0.0, 'neu': 0.396, 'pos': 0.604, 'compound': 0.7263}"
10,2023-01-29 00:28:29,xqc ,blubee0401,aw lmao,0,lao,"{'neg': 0.0, 'neu': 0.25, 'pos': 0.75, 'compound': 0.4588}"
11,2023-01-29 00:28:29,xqc ,luckofthedrew,forsencd cheater,0,cheater,"{'neg': 0.778, 'neu': 0.222, 'pos': 0.0, 'compound': -0.5423}"
12,2023-01-29 00:28:29,xqc ,jawwshy,forsencd clap use the word,0,Clap,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.6124}"
13,2023-01-29 00:28:29,xqc ,buckypancake,man who cares,0,care,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.4588}"
14,2023-01-29 00:28:29,xqc ,forsen_is_the_godgamer,lmfaoo wtf lmfaoo wtf lmfaoo wtf lmfaoo wtf lmfaoo wtf lmfaoo wtf lmfaoo wtf lmfaoo wtf lmfaoo wtf,0,wif,"{'neg': 0.792, 'neu': 0.208, 'pos': 0.0, 'compound': -0.9884}"
15,2023-01-29 00:28:30,xqc ,sykkira,omegalul,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}"
16,2023-01-29 00:28:30,xqc ,duskchimera,forsencd dear brother,0,dear,"{'neg': 0.0, 'neu': 0.435, 'pos': 0.565, 'compound': 0.3818}"
17,2023-01-29 00:28:30,xqc ,auramusic1212,w drawing pepega clap w drawing pepega clap w drawing pepega clap,0,Pepega Clap,"{'neg': 0.333, 'neu': 0.222, 'pos': 0.444, 'compound': 0.6124}"
18,2023-01-29 00:28:30,xqc ,corinuh,cheater,0,cheater,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5423}"
19,2023-01-29 00:28:31,xqc ,youi_777,ill allow it,0,ill allow,"{'neg': 0.491, 'neu': 0.175, 'pos': 0.333, 'compound': -0.2263}"
20,2023-01-29 00:28:31,xqc ,vv0l0l0,draw balls omegalul,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.4588}"
21,2023-01-29 00:28:31,xqc ,czyarny,victory royale ez,0,EZ,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.3612}"
22,2023-01-29 00:28:31,xqc ,tarolaz,omegalul,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}"
23,2023-01-29 00:28:31,xqc ,elktheelk,its fine,0,fine,"{'neg': 0.0, 'neu': 0.357, 'pos': 0.643, 'compound': 0.2023}"
24,2023-01-29 00:28:31,xqc ,playerdark310,lul lul lul,0,LUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.9517}"
